#ActionButtonParam=ACTIONBUTTON_PARAM_ST
ID,Name,regionType,pad1,dummyPoly1,dummyPoly2,Radius,Angle,depth,width,height,baseHeightOffset,angleCheckType,pad2,AllowAngle,textBoxType,pad3,textId,InvalidFlag,grayoutFlag,priority,execInvalidTime,execButtonCircle,pad4
0,Test 0 -- テスト0,0,-,1,1,1,1,1,1,1,1,0,-,1,0,-,0,1,1,1,1,1,-
1,Test One -- テスト1,0,-,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,0,0,0,0,-
1000,Regain The Lost Life -- 失ったライフを取り戻す,0,-,-1,-1,1.5,180,0,0,3,-1,0,-,180,0,-,50000200,-1,-1,1,3,1,-
1010,Take a Life -- ライフをとる,0,-,-1,-1,1.5,180,0,0,2,-1,0,-,180,0,-,50000205,-1,-1,2,3,1,-
1020,Read Tombstone -- 墓碑を読む,0,-,-1,-1,1.5,180,0,0,2,-1,0,-,180,0,-,50000100,-1,-1,10,3,1,-
2000,Read a letter (summons) -- 手紙を読む（召喚）,0,-,-1,-1,1,180,0,0,2,-1,0,-,180,0,-,2110000,-1,-1,8,3,1,-
2001,Read a letter (summon red sign) -- 手紙を読む（赤サイン召喚）,0,-,-1,-1,1,180,0,0,2,-1,0,-,180,0,-,2110000,-1,-1,8,3,1,-
2010,Check your letter (summons) -- 自分の手紙を確認する（召喚）,0,-,-1,-1,1,180,0,0,2,-1,0,-,180,0,-,2111000,-1,-1,8,3,1,-
3000,Read the letter (blood character) -- 手紙を読む（血文字）,0,-,-1,-1,1.5,180,0,0,2,-1,0,-,180,0,-,50000210,-1,-1,9,3,1,-
3010,Check your letters (blood letters) -- 自分の手紙を確認する（血文字）,0,-,-1,-1,1.5,180,0,0,2,-1,0,-,180,0,-,50000500,-1,-1,9,3,1,-
4000,Pick up Items -- アイテムを拾う,0,-,-1,-1,1.5,180,0,0,2,-1,0,-,180,0,-,10010103,-1,-1,6,3,1,-
4100,They take a relic -- 遺物をとる,0,-,90,-1,1.5,180,0,0,2.4,-1.4,0,-,180,0,-,10010102,-1,-1,5,3,1,-
4110,They take a relic -- 遺物をとる,0,-,90,-1,1.5,180,0,0,2.4,-1.4,0,-,180,0,-,10010103,-1,-1,5,3,1,-
4200,They take a memento -- 遺品をとる,0,-,90,-1,1.5,180,0,0,2.3,-1.3,0,-,180,0,-,10010101,-1,-1,5,3,1,-
4300,They take a treasure -- 宝物をとる,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,10010107,-1,-1,5,3,1,-
4400,Ok -- OK,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,10010110,-1,-1,7,3,1,-
5000,Rise Up a ladder -- はしごをのぼる,0,-,195,-1,1.5,90,0,0,1,-0.75,0,-,90,0,-,10010300,-1,-1,3,3,1,-
5010,Hiccup The Ladder -- はしごをおりる,0,-,194,-1,1.5,90,0,0,1,-0.25,0,-,90,0,-,10010301,-1,-1,3,3,1,-
5100,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,10010111,-1,-1,11,3,1,-
5110,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,51000000,-1,-1,12,3,1,-
5111,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,51000010,-1,-1,12,3,1,-
5112,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,51000020,-1,-1,12,3,1,-
5113,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,51000030,-1,-1,12,3,1,-
5114,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,51000040,-1,-1,12,3,1,-
5115,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,51000050,-1,-1,12,3,1,-
5116,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,51000060,-1,-1,12,3,1,-
5117,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,51000070,-1,-1,12,3,1,-
6000,Talk -- 話しかける,0,-,-1,-1,2,180,0,0,1.5,-0.75,0,-,90,0,-,10010200,-1,-1,4,3,1,-
