#AiSoundParam=AI_SOUND_PARAM_ST
ID,Name,Radius,lifeFrame,bSpEffectEnable [ON_OFF],Type [AI_SOUND_RATE_TYPE],fakeTargetType [AI_SOUND_FAKE_TARGET_TYPE],InterestCategory,UseHitDamageTeam [ON_OFF],pad
0,Default (do not edit) -- デフォルト（編集しない）,0,0,0,0,1,0,0,-
1,Walk -- 歩き,0.5,1,0,1,1,0,0,-
2,Run -- 走り,6,1,0,1,1,0,0,-
3,Dash -- ダッシュ,7,1,0,1,1,0,0,-
4,Rolling -- ローリング,10,1,0,1,1,0,0,-
5,Landing -- 着地,8,1,0,1,1,0,0,-
6,A covert walk -- 隠密歩き,1,1,0,1,1,0,0,-
7,Covert Run -- 隠密走り,0.5,1,0,1,1,0,0,-
8,Object Destruction -- オブジェクト破壊,20,1,0,0,1,1,0,-
1000,Walk -- 歩き,0.4,1,1,1,1,0,0,-
1010,Run -- 走り,5,1,1,1,1,0,0,-
1020,Dash -- ダッシュ,7,1,1,1,1,0,0,-
1030,Rolling -- ローリング,7,1,1,1,1,0,0,-
1040,Minimal landing -- 着地（極小）,1,1,1,1,1,0,0,-
1050,Small landing -- 着地（小）,2,1,1,1,1,0,0,-
1060,Normal landing -- 着地（普通）,5,1,1,1,1,0,0,-
1070,Large Landing -- 着地（大）,7,1,1,1,1,0,0,-
1500,,15,4,0,0,1,3,0,-
1510,,15,4,0,0,1,5,0,-
1520,,15,4,0,0,1,4,0,-
1600,,5,4,0,0,1,2,0,-
2000,Small attack sound -- 攻撃音小,2,1,0,0,1,1,0,-
2010,During the attack sound -- 攻撃音中,4,1,0,0,1,1,0,-
2020,Attack music -- 攻撃音大,6,1,0,0,1,1,0,-
2030,Attack Sound Oversized -- 攻撃音特大,8,1,0,0,1,1,0,-
2100,Attack Sound Small -- 攻撃発生音小,4,1,0,0,1,1,0,-
2110,In the sound of an attack -- 攻撃発生音中,6,1,0,0,1,1,0,-
2120,Attack music -- 攻撃発生音大,8,1,0,0,1,1,0,-
2130,,10,1,0,0,1,1,0,-
2200,Attack sound small (normal sound) -- 攻撃音小（通常音）,2,1,1,0,1,0,0,-
2210,,4,1,1,0,1,0,0,-
2220,,6,1,1,0,1,0,0,-
2300,,4,1,0,0,1,0,0,-
2310,,6,1,0,0,1,0,0,-
2320,,8,1,0,0,1,0,0,-
3000,Object Destruction Sound Small -- オブジェクト破壊音小,4,1,0,0,1,1,0,-
3010,Object Breaking Sound -- オブジェクト破壊音中,7,1,0,0,1,1,0,-
3020,Object Destruction Music -- オブジェクト破壊音大,10,1,0,0,1,1,0,-
4000,Wake Up Sound -- 起きろ音,30,1,0,0,1,1,0,-
4010,Buddy Call Sound: Medium -- 仲間呼び音：中,5,1,0,0,2,1,0,-
4020,Companions Call Sound: Small -- 仲間呼び音：小,30,1,0,0,2,1,0,-
5000,Anxious Sound One -- 気になる音1,5,1,0,0,3,0,0,-
6000,Companion: Dead Soldier lantern -- 仲間呼び：亡者兵士ランタン,30,1,0,0,2,1,0,-
9002,Mate call Test: Blue -- 仲間呼びテスト：ブルー,20,1,0,0,2,1,0,-
9003,Unused -- 未使用,0,1,0,0,1,0,0,-
9004,Per bullet -- 弾丸当たり,1,1,0,0,1,1,0,-
9005,Per wall -- 壁当たり,1,1,0,0,1,1,0,-
9006,Soul Coins -- ソウルコイン,13,1,0,0,1,0,0,-
9007,Hallucinations -- 幻聴,5,1,0,0,1,0,0,-
9008,Allure -- アラーム,0,0,0,0,1,1,0,-
9990,,0,0,0,0,0,0,0,-
9991,,0,0,0,0,0,0,0,-
