#BehaviorParam=BEHAVIOR_PARAM_ST
ID,Name,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,pad1,refId,sfxVariationId,stamina,mp,category,heroPoint,pad2
0,For testing -- テスト用,0,0,0,0,-,0,-1,0,0,0,0,-
5,Disabled behavior [System] -- 無効行動【システム】,0,0,0,0,-,4,-1,0,0,0,0,-
7,Pc_sossign [System] -- PC_SOSsign【システム】,0,0,3,2,-,4,29,0,0,0,0,-
12,Kickout [System] -- kickout【システム】,0,0,0,2,-,6,-1,0,0,0,0,-
13,Leavesession [System] -- leaveSession【システム】,0,0,0,2,-,7,32,0,0,0,0,-
15,Black_soulsign [System] -- Black_Soulsign【システム】,0,0,0,2,-,10,30,0,0,0,0,-
16,Intrusion System -- 乱入【システム】,0,0,0,2,-,11,31,0,0,0,0,-
17,Bloodsign [System] -- bloodSign【システム】,0,0,0,2,-,12,-1,0,0,0,0,-
50,Bonfire effect -- かがり火効果,0,0,0,1,-,50,-1,0,0,0,0,-
101,Ghost weakening [System] -- ゴースト弱体化【システム】,0,0,0,2,-,8,-1,0,0,0,0,-
102,Black reinforcement [System] -- ブラック強化【システム】,0,0,0,2,-,9,-1,0,0,0,0,-
201,【 QWC 】 Area _npc_ + 1 -- 【ＱＷＣ】エリア_ＮＰＣ_＋1,0,0,0,2,-,201,-1,0,0,0,0,-
202,【 QWC 】 Area _npc_ + 2 -- 【ＱＷＣ】エリア_ＮＰＣ_＋2,0,0,0,2,-,202,-1,0,0,0,0,-
203,【 QWC 】 Area _npc_ + 3 -- 【ＱＷＣ】エリア_ＮＰＣ_＋3,0,0,0,2,-,203,-1,0,0,0,0,-
206,【 QWC 】 Area _npc_-1 -- 【ＱＷＣ】エリア_ＮＰＣ_－1,0,0,0,2,-,206,-1,0,0,0,0,-
207,【 QWC 】 Area _NPC_-2 -- 【ＱＷＣ】エリア_ＮＰＣ_－2,0,0,0,2,-,207,-1,0,0,0,0,-
208,【 QWC 】 Area _NPC_-3 -- 【ＱＷＣ】エリア_ＮＰＣ_－3,0,0,0,2,-,208,-1,0,0,0,0,-
211,[QWC] Area _ black _ + 1 -- 【ＱＷＣ】エリア_ブラック_＋1,0,0,0,2,-,211,-1,0,0,0,0,-
212,[QWC] Area _ black _ + 2 -- 【ＱＷＣ】エリア_ブラック_＋2,0,0,0,2,-,212,-1,0,0,0,0,-
