#BehaviorParam_PC=BEHAVIOR_PARAM_ST
ID,Name,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,pad1,refId,sfxVariationId,stamina,mp,category,heroPoint,pad2
0,For testing -- テスト用,0,0,0,0,-,0,-1,0,0,0,0,-
4,Automatic Patrol object Destruction attack -- 自動巡回用オブジェ破壊攻撃,0,0,0,1,-,4,-1,0,0,5,0,-
6,,0,0,0,1,-,6,-1,0,0,5,0,-
8,,0,0,0,1,-,8,-1,0,0,5,0,-
10,Pc_ Common _ Egg attack -- PC_共通_卵攻撃,0,0,0,0,-,10,-1,20,0,5,0,-
30,,0,0,0,1,-,30,-1,0,0,5,0,-
100,Pc_ Common _ Falling -- PC_共通_落下,0,0,0,0,-,100,-1,0,0,0,0,-
400,Common attack [falling] _ Attack Armor -- 共通攻撃【落下】_攻撃防具,0,0,0,0,-,200,0,0,0,9,0,-
401,Common attack [Landing] _ Attack Armor -- 共通攻撃【着地】_攻撃防具,0,0,0,0,-,201,0,0,0,9,0,-
402,Common attack [Thud landing] _ attack Armor -- 共通攻撃【ドスン着地】_攻撃防具,0,0,0,0,-,202,0,0,0,9,0,-
403,Common attack (Fall Landing) _ Attack Armor -- 共通攻撃【転倒着地】_攻撃防具,0,0,0,0,-,203,0,0,0,9,0,-
404,Common attack [Rolling] _ Attack Armor -- 共通攻撃【ローリング】_攻撃防具,0,0,0,0,-,204,0,0,0,5,0,-
405,Common attack [Summon] _ Attack Armor -- 共通攻撃【召喚】_攻撃防具,0,0,0,0,-,205,0,0,0,5,0,-
406,Common attack [falling on back] _ Attack Armor -- 共通攻撃【仰向け落下】_攻撃防具,0,0,0,0,-,206,0,0,0,5,0,-
410,Common attack [Push] _ Attack Armor -- 共通攻撃【プッシュ】_攻撃防具,0,0,0,0,-,210,0,0,0,5,0,-
411,Common attack [later blows] _ attack Armor -- 共通攻撃【後へ吹っ飛ぶ】_攻撃防具,0,0,0,0,-,211,0,0,0,5,0,-
