#BonfireWarpParam=BONFIRE_WARP_PARAM_ST
ID,Name,LocationEventId,WarpEventId,BonfireNameId,DescriptionTextId,PictureId,ListId,IsDisableQuickwarp,CeremonyId,onlineAreaId,pad1
0,[usually bonfire] base bonfire -- 【通常篝火】拠点篝火,14000000,4001950,211200,211600,99999,99,1,0,0,-
1,[Normal bonfire] Tutorial bonfire -- 【通常篝火】チュートリアル篝火,14000000,4001950,211200,211600,10001,0,1,0,0,-
2,The big wall of Le dress -- ルドレスの大壁,14000001,4001951,211201,211601,10002,0,0,0,0,-
3,[usually bonfire] the last tower roof of the rampart -- 【通常篝火】城壁最後の塔　屋上,14000002,4001952,211205,211605,10003,0,0,0,0,-
4,[Boss Bonfire] Tracker (saloon) -- 【ボス篝火】追跡者（大広間）,14000003,4001953,211202,211602,10004,0,0,10,400001,-
5,[Boss Bonfire] Full Armor beast (gate) -- 【ボス篝火】フルアーマー獣（門）,14000004,4001954,211206,211606,10005,0,0,10,400001,-
6,"[Boss Bonfire] Dragon Angel (Mausoleum, Segunda Room) -- 【ボス篝火】竜の御使い（霊廟・グンダ部屋）",13000009,3001950,211210,211610,10011,1,0,-1,300001,-
7,* The large wall of the NT version dress -- ※NT版 ルドレスの大壁,13000000,3001960,211210,211610,10011,1,0,-1,0,-
8,* NT version [normal bonfire] wall last tower roof -- ※NT版 【通常篝火】城壁最後の塔　屋上,13000005,3001955,211211,211611,10012,1,0,-1,300001,-
9,[Normal bonfire] Start (back of the saloon) -- 【通常篝火】スタート（大広間奥）,13000002,3001952,211216,211616,10014,1,0,-1,300004,-
11,[Boss Bonfire] Prince of Darkness (innermost) -- 【ボス篝火】闇の双皇子（最奥）,13000001,3001951,211217,211617,10015,1,0,-1,300022,-
12,[Normal bonfire] Start (point overlooking the city) -- 【通常篝火】スタート（街を見下ろせるポイント）,13000003,3001959,211210,211610,10011,99,0,-1,0,-
13,【 Normal Bonfire 】 shortcut route -- 【通常篝火】ショートカットルート途中,13000008,3001958,211210,211610,10012,99,0,-1,0,-
14,[Boss Bonfire] Colossus (innermost) -- 【ボス篝火】巨像（最奥）,13010000,3011950,211220,211620,10081,8,0,-1,301000,-
15,[Normal bonfire] Start bonfire -- 【通常篝火】スタート篝火,13010002,3011952,211221,211621,10084,8,0,-1,301000,-
17,[Normal bonfire] start (where overlooking the forest) -- 【通常篝火】スタート（森を見下ろせる場所）,13410001,3411951,211222,211622,10085,8,0,-1,341000,-
18,【 boss Bonfire 】 Crystal Elders (connection to the Church of the Basilica) -- 【ボス篝火】結晶の古老（聖堂教会への接続）,13410000,3411950,211226,211626,10083,8,0,-1,341002,-
20,[Normal bonfire] Start (small church entrance) -- 【通常篝火】スタート（小教会入口）,13100000,3101950,211240,211640,10021,2,0,-1,310000,-
21,[Boss Bonfire] Cardinal (bottom) -- 【ボス篝火】枢機卿団（最奥）,13100002,3101952,211241,211641,10023,2,0,-1,310002,-
22,[Boss Bonfire] Rosalia + NPC (Saint Room) -- 【ボス篝火】ロザリア＋NPC（聖女部屋）,13100003,3101953,211242,0,10024,2,0,-1,310001,-
23,【 Normal bonfire 】 Bonfire Church -- 【通常篝火】篝火教会,13100001,3101951,211245,211645,10022,2,0,-1,310001,-
