#CharMakeMenuTopParam=CHARMAKEMENUTOP_PARAM_ST
ID,Name,CommandID,FaceParamID,TableID,ViewCondition,PreviewMode,pad1,MenuType,pad2
1,Gender -- 性別,20,402012,0,0,3,-,1,-
2,Age group -- 年齢層,21,402013,0,0,0,-,1,-
3,Voice -- 声,22,420001,0,0,0,-,1,-
4,Physique -- 体格,10,420010,0,0,0,-,1,-
5,-----{Scale Adjustment -- -----｛スケール調整,4,420055,202,120,0,-,1,-
6,Head -- 頭部,4,420056,201,130,0,-,1,-
7,Chest -- 胸部,11,0,0,0,0,-,1,-
8,Abdomen -- 腹部,23,420002,0,0,4,-,1,-
9,Arm part -- 腕部,10,420003,0,0,0,-,1,-
10,Leg -- 脚部,1,423000,136,422000,0,-,1,-
11,｝----- -- ｝-----,1,423001,137,422002,0,-,1,-
12,Flesh-colored base -- 肌色ベース,1,423002,138,422004,0,-,1,-
13,-----{Skin Tone -- -----｛肌の色調,1,423003,139,422006,0,-,1,-
14,Skin brightness -- 肌の明るさ,1,423004,140,422008,0,-,1,-
15,Skin Color Adjustment 1 -- 肌色調整１,11,0,0,0,0,-,0,-
16,Skin Color Adjustment 2 -- 肌色調整２,24,420006,0,0,4,-,2,-
17,Skin Color Adjustment 3 -- 肌色調整３,10,420007,0,0,4,-,2,-
18,Bridge color -- 鼻梁の色,12,420049,0,0,0,-,2,-
19,Cheek color -- 頬の色,10,420011,0,0,0,-,2,-
20,Law Line -- 法令線,1,423020,96,422030,0,-,2,-
21,｝----- -- ｝-----,1,423021,97,422032,0,-,2,-
22,Face Base -- 顔ベース,1,423022,99,422034,0,-,2,-
23,Face Base -- 顔ベース,11,0,0,0,0,-,0,-
24,-----{Face Details -- -----｛顔詳細,10,420012,0,0,0,-,2,-
25,A similar face -- 似た顔,10,420018,0,0,0,-,2,-
26,-----{Characterizing -- -----｛特徴付け,1,423050,0,422052,0,-,2,-
27,Age Image -- 年齢イメージ,1,423051,1,422054,0,-,2,-
28,Gender image -- 性別イメージ,1,423052,3,422056,0,-,2,-
29,Shape exaggerated -- 形状誇張,1,423053,4,422058,0,-,2,-
30,｝----- -- ｝-----,1,423054,5,422060,0,-,2,-
31,-----{Face Shape -- -----｛顔の形状,1,423055,6,422062,0,-,2,-
32,-----{Face Balance -- -----｛顔のバランス,11,0,0,0,0,-,0,-
33,Nose ratio -- 鼻の占める比率,10,420019,0,0,0,-,2,-
34,Nose and forehead ratio -- 鼻と額の比率,1,423060,15,422064,0,-,2,-
35,Face irregularities -- 顔の凹凸,1,423061,16,422066,0,-,2,-
36,Distance between face parts -- 顔パーツの上下の間隔,1,423062,17,422068,0,-,2,-
37,Tilt of Face Parts -- 顔パーツの傾き,1,423063,18,422070,0,-,2,-
38,Left and right spacing of face parts -- 顔パーツの左右の間隔,1,423064,19,422072,0,-,2,-
39,｝----- -- ｝-----,1,423065,20,422074,0,-,2,-
40,-----{forehead/eyebrows -- -----｛額/眉間,11,0,0,0,0,-,0,-
41,Forehead depth -- 額の深さ,10,420020,0,0,0,-,2,-
42,Forehead irregularities -- 額の凹凸,1,423070,21,422076,0,-,2,-
43,Upper Bridge Height -- 鼻梁上部の高さ,1,423071,22,422078,0,-,2,-
44,Bridge top Irregularities 1 -- 鼻梁上部の凹凸1,1,423072,23,422080,0,-,2,-
45,Bridge Top Irregularities 2 -- 鼻梁上部の凹凸2,11,0,0,0,0,-,0,-
46,Bridge Upper Width -- 鼻梁上部の幅,10,420021,0,0,0,-,2,-
47,｝----- -- ｝-----,1,423080,31,422082,0,-,2,-
48,-----{Eyebrow Bone -- -----｛眉骨,1,423081,32,422084,0,-,2,-
49,Height of eyebrow Bone -- 眉骨の高さ,1,423082,33,422086,0,-,2,-
50,Inner edge of eyebrow bone -- 眉骨の内端,1,423083,34,422088,0,-,2,-
51,The outside edge of the eyebrow bone -- 眉骨の外端,11,0,0,0,0,-,0,-
52,｝----- -- ｝-----,10,420022,0,0,0,-,2,-
53,-----{Eye -- -----｛眼,1,423090,44,422090,0,-,2,-
54,Eye position -- 眼の位置,1,423091,45,422092,0,-,2,-
55,Eye size -- 眼の大きさ,1,423092,46,422094,0,-,2,-
