#CharaInitParam=CHARACTER_INIT_PARAM
ID,Name,BaseRec_mp,BaseRec_sp,red_Falldam,soul,equip_Wep_Right,equip_Subwep_Right,equip_Wep_Left,equip_Subwep_Left,equip_Helm,equip_Armor,equip_Gaunt,equip_Leg,equip_Arrow,equip_Bolt,equip_SubArrow,equip_SubBolt,equip_Accessory1,equip_Accessory2,equip_Accessory3,equip_Accessory4,equip_Accessory5,Equip_Skill_01,Equip_Skill_02,Equip_Skill_03,equip_Spell_01,equip_Spell_02,equip_Spell_03,equip_Spell_04,equip_Spell_05,equip_Spell_06,equip_Spell_07,Item_01,Item_02,Item_03,Item_04,Item_05,Item_06,Item_07,Item_08,Item_09,Item_10,npcPlayerFaceGenId,npcPlayerThinkId,baseHp,baseMp,baseSp,arrowNum,boltNum,subArrowNum,subBoltNum,QWC_sb,QWC_mw,QWC_cd,soulLvl,baseVit,baseWil,baseEnd,baseStr,baseDex,baseMag,baseFai,baseLuc,baseHeroPoint,baseDurability,itemNum_01,itemNum_02,itemNum_03,itemNum_04,itemNum_05,itemNum_06,itemNum_07,itemNum_08,itemNum_09,itemNum_10,bodyScaleHead,bodyScaleBreast,BodyScaleAbdomen,BodyScaleArm,BodyScaleLeg,gestureid0,gestureid1,gestureid2,gestureid3,gestureid4,gestureid5,gestureid6,npcPlayerType,npcPlayerDrawType,NpcPlayerSex,vowType,VoiceType,pad1,equip_Wep_Right_GenId,equip_Subwep_Right_GenId,equip_Wep_Left_GenId,equip_Subwep_Left_GenId,equip_Helm_GenId,equip_Armor_GenId,equip_Gaunt_GenId,equip_Leg_GenId,equip_Wep_Body_GenId,SecondaryItem_01,SecondaryItem_02,SecondaryItem_03,SecondaryItem_04,SecondaryItem_05,SecondaryItem_06,SecondaryItem_07,SecondaryItem_08,secondaryItemNum_01,secondaryItemNum_02,secondaryItemNum_03,secondaryItemNum_04,secondaryItemNum_05,secondaryItemNum_06,secondaryItemNum_07,secondaryItemNum_08,pad2
0,ID to Defocala of them -- そのうちデフォキャラにするID,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-
1,1: E3 Version (for demo) -- 1：E3版（デモ用）,0,0,0,0,291000,-1,2190000,-1,800000,801000,802000,803000,400000,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,30,0,0,0,0,0,0,1,10,10,10,10,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,230000000,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,1,-
2,2: E3 version (fully equipped) -- 2：E3版（フル装備）,0,0,0,0,291000,690000,2190000,1490000,800000,801000,802000,803000,400000,-1,400200,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,151,310,292,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,30,0,30,0,0,0,0,1,10,10,10,10,10,10,10,10,0,10,10,15,5,0,0,0,0,0,0,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,1500000,230000000,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,1,-
3,3: Gamescom Sword -- 3：Gamescom 剣,0,0,0,0,291000,-1,2193000,2192000,810000,811000,812000,813000,400000,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,30,0,0,0,0,0,0,1,10,10,10,10,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,230000000,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,1,-
4,4: Gamescom Axe -- 4：Gamescom 斧,0,0,0,0,701000,-1,2191000,2192000,820000,821000,822000,823000,400000,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,30,0,0,0,0,0,0,1,10,10,10,10,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,230000000,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,1,-
5,5: Gamescom Sword (full gear) -- 5：Gamescom 剣　（フル装備）,0,0,0,0,291000,690000,2193000,2192000,810000,811000,812000,813000,400000,-1,400200,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,151,310,292,330,260,240,-1,-1,-1,-1,-1,0,0,0,0,30,0,30,0,0,0,0,1,10,10,10,10,10,10,10,10,0,10,10,99,99,5,10,1,0,0,0,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,1500000,230000000,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,1,-
6,6: Gamescom Ax (full gear) -- 6：Gamescom 斧　（フル装備）,0,0,0,0,701000,690000,2191000,2192000,820000,821000,822000,823000,400000,-1,400200,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,151,310,292,330,260,240,-1,-1,-1,-1,-1,0,0,0,0,30,0,30,0,0,0,0,1,10,10,10,10,10,10,10,10,0,10,10,99,99,5,10,1,0,0,0,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,1500000,230000000,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,1,-
10,10: TGS A (Wandering Knight) -- 10：TGS A　（放浪の騎士）,0,0,0,0,291000,-1,2189000,2188000,810000,811000,812000,813000,400000,-1,400200,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,771,781,-1,-1,-1,-1,-1,-1,-1,-1,20,0,0,0,0,30,0,30,0,0,0,0,8,12,9,11,16,10,10,11,7,0,12,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,230000000,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,10,3,-
11,11: TGS B (North Warrior) -- 11：TGS B　（北の戦士）,0,0,0,0,701000,-1,2191000,2192000,820000,821000,822000,823000,400000,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,771,781,-1,-1,-1,-1,-1,-1,-1,-1,21,0,0,0,0,30,0,0,0,0,0,0,8,13,9,11,17,8,7,10,11,0,12,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,230000000,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,10,3,-
12,12: TGS D (Temple Knight) -- 12：TGS D　（神殿騎士）,0,0,0,0,801000,-1,2193000,1334000,840000,841000,842000,843000,400000,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,5000,5630,5500,-1,-1,-1,-1,773,791,-1,-1,-1,-1,-1,-1,-1,-1,23,0,0,0,0,30,0,0,0,0,0,0,8,11,14,12,16,9,5,14,7,0,10,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,230000000,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,6,7,-
