#CharacterLoadParam=CHARACTER_LOAD_PARAM_ST
ID,Name,ChrBndType,AniBndType,TexBndType,BehBndType,SndChrType
0,,0,0,0,0,0
100,,0,0,0,0,0
1000,,0,0,0,0,0
1070,,0,0,0,0,0
1071,,3,5,3,3,3
1090,,0,0,0,0,0
1100,,0,0,0,0,0
1101,,0,0,0,0,0
1102,,0,0,0,0,0
1105,,0,0,0,0,0
1106,,0,0,0,0,0
1109,,5,5,0,5,5
1130,,0,0,0,0,0
1139,,5,5,0,5,5
1170,,0,0,0,0,0
1180,,0,0,0,0,0
1190,,0,0,0,0,0
1200,,0,0,0,0,0
1201,,3,5,3,3,3
1210,,0,0,0,0,0
1211,,0,0,0,0,0
1220,,0,0,0,0,0
1229,,5,5,0,5,5
1230,,0,0,0,0,0
1240,,0,0,0,0,0
1241,,0,0,0,0,0
1250,,0,0,0,0,0
1260,,0,0,0,0,0
1280,,0,0,0,0,0
1281,,0,0,0,0,0
1282,,0,0,0,0,0
1283,,3,4,3,3,3
1290,,0,0,0,0,0
1300,,0,0,0,0,0
1310,,0,0,0,0,0
1320,,0,0,0,0,0
1321,,0,0,0,0,0
1340,,0,0,0,0,0
1350,,0,0,0,0,0
1360,,0,0,0,0,0
1370,,0,0,0,0,0
1380,,0,0,0,0,0
1390,,0,0,0,0,0
1391,,0,0,0,0,0
1399,,5,5,0,5,5
1400,,0,0,0,0,0
1410,,0,0,0,0,0
1430,,0,0,0,0,0
1440,,0,0,0,0,0
1441,,0,0,0,0,0
1442,,0,0,0,0,0
1445,,0,0,0,0,0
1446,,0,0,0,0,0
1449,,5,5,0,5,5
1450,,0,0,0,0,0
1470,,0,0,0,0,0
1480,,0,0,0,0,0
1490,,0,0,0,0,0
2020,,0,0,0,0,0
2021,,0,0,0,0,0
2029,,5,5,0,5,5
2030,,0,0,0,0,0
2040,,0,0,0,0,0
2060,,0,0,0,0,0
2070,,0,0,0,0,0
2080,,0,0,0,0,0
2090,,0,0,0,0,0
2100,,0,0,0,0,0
2110,,0,0,0,0,0
2120,,0,0,0,0,0
2130,,0,0,0,0,0
2131,,0,0,0,0,0
2132,,0,0,0,0,0
2140,,0,0,0,0,0
2150,,0,0,0,0,0
2160,,0,0,0,0,0
2170,,0,0,0,0,0
2180,,0,0,0,0,0
2190,,0,0,0,0,0
2191,,0,0,0,0,0
2200,,0,0,0,0,0
2209,,5,5,0,5,5
2210,,0,2,0,0,0
2230,,0,0,0,0,0
2239,,5,5,0,5,5
2240,,0,0,0,0,0
2250,,0,0,0,0,0
2260,,0,0,0,0,0
2270,,0,2,0,0,0
2271,,0,0,0,0,0
2279,,5,5,0,5,5
2280,,0,0,0,0,0
2290,,0,0,0,0,0
3020,,0,0,0,0,0
3021,,0,0,0,0,0
3040,,0,0,0,0,0
3050,,0,0,0,0,0
3060,,0,0,0,0,0
3070,,0,0,0,0,0
3071,,0,0,0,0,0
3080,,0,0,0,0,0
3090,,0,0,0,0,0
3100,,0,0,0,0,0
3110,,0,0,0,0,0
3120,,0,0,0,0,0
3140,,0,0,0,0,0
3141,,0,0,0,0,0
3160,,0,0,0,0,0
3170,,0,0,0,0,0
3190,,0,0,0,0,0
3200,,0,0,0,0,0
3210,,0,0,0,0,0
3220,,0,0,0,0,0
3230,,0,0,0,0,0
3250,,0,0,0,0,0
5010,,0,0,0,0,0
5019,,5,5,0,5,5
5020,,3,4,3,3,3
5021,,3,3,3,3,3
5022,,3,3,3,3,3
5030,,0,0,0,0,0
5110,,0,4,0,0,0
5140,,0,0,0,0,0
5150,,0,0,0,0,0
5160,,0,0,0,0,0
5180,,0,0,0,0,0
5200,,0,0,0,0,0
5210,,0,0,0,0,0
5220,,0,0,0,0,0
5221,,0,0,0,0,0
5222,,0,0,0,0,0
5223,,0,0,0,0,0
5225,,0,0,0,0,0
5226,,0,0,0,0,0
5227,,0,0,0,0,0
5229,,5,5,0,5,5
5240,,0,0,0,0,0
5250,,0,0,0,0,0
5251,,0,0,0,0,0
5259,,5,5,0,5,5
5260,,0,0,0,0,0
5270,,0,0,0,0,0
5280,,0,0,0,0,0
6000,,1,1,1,1,1
6010,,1,1,1,1,1
6020,,1,1,1,1,1
6030,,1,1,1,1,1
6040,,1,1,1,1,1
6050,,1,1,1,1,1
6060,,1,1,1,1,1
6070,,1,1,1,1,1
6080,,1,1,1,1,1
6081,,1,1,1,1,1
6089,,5,5,1,5,5
6090,,1,1,1,1,1
6100,,1,1,1,1,1
6110,,1,1,1,1,1
6120,,1,1,1,1,1
6121,,1,1,1,1,1
6130,,1,5,1,1,1
6200,,3,3,3,3,3
6201,,3,3,3,3,3
6210,,3,4,3,3,3
6211,,3,3,3,3,3
6230,,3,3,3,3,3
6231,,5,5,5,5,5
6232,,3,4,3,3,3
6239,,5,5,3,5,5
6240,,3,3,3,3,3
6250,,3,3,3,3,3
6260,,3,3,3,3,3
6270,,3,3,3,3,3
6280,,3,3,3,3,3
6281,,3,3,3,3,3
6290,,3,3,3,3,3
6300,,3,3,3,3,3
6310,,3,3,3,3,3
6320,,3,3,3,3,3
6330,,3,3,3,3,3
6331,,3,3,3,3,3
6339,,5,5,3,5,5
