#ClearCountCorrectParam=CLEAR_COUNT_CORRECT_PARAM_ST
ID,Name,HP,Mana,Stamina,PhysDmg,slashDmg,blowDmg,thrustDmg,neutral,MagicDmg,FireDmg,ThunderDmg,DarkDmg,PhysResist,MagicResist,FireResist,ThunderResist,DarkResist,StaminaDmg,MpRecover,PoisonResist,ToxicResist,BleedResist,CurseResist,FrostResist,HpRecover,subMpRecover,subHpRecover,pad1
0,NG+0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1,NG+1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
2,NG+2,1.1,1,1.1,1.1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.025,1.025,1.025,1.025,1.025,1.4,1.1,1.015,1.015,1.015,1.015,1.015,1,0.95,1,-
3,NG+3,1.15,1,1.125,1.15,1,1,1,1.15,1.15,1.15,1.15,1.15,1.05,1.05,1.05,1.05,1.05,1.5,1.125,1.03,1.03,1.03,1.03,1.03,1,0.9,1,-
4,NG+4,1.2,1,1.2,1.2,1,1,1,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.6,1.2,1.045,1.045,1.045,1.045,1.045,1,0.85,1,-
5,NG+5,1.3,1,1.225,1.3,1,1,1,1.3,1.3,1.3,1.3,1.3,1.15,1.15,1.15,1.15,1.15,1.7,1.225,1.06,1.06,1.06,1.06,1.06,1,0.8,1,-
6,NG+6,1.35,1,1.25,1.35,1,1,1,1.35,1.35,1.35,1.35,1.35,1.2,1.2,1.2,1.2,1.2,1.8,1.25,1.075,1.075,1.075,1.075,1.075,1,0.7,1,-
7,NG+7,1.4,1,1.275,1.45,1,1,1,1.45,1.45,1.45,1.45,1.45,1.3,1.3,1.3,1.3,1.3,1.9,1.275,1.09,1.09,1.09,1.09,1.09,1,0.6,1,-
8,NG+8,1.484,1,1.352,1.537,1,1,1,1.537,1.537,1.537,1.537,1.537,1.303,1.303,1.303,1.303,1.303,1.949,1.352,1.155,1.155,1.155,1.155,1.155,1,0.594,1,-
9,NG+9,1.573,1,1.433,1.629,1,1,1,1.629,1.629,1.629,1.629,1.629,1.306,1.306,1.306,1.306,1.306,1.999,1.433,1.224,1.224,1.224,1.224,1.224,1,0.588,1,-
10,NG+10,1.667,1,1.519,1.727,1,1,1,1.727,1.727,1.727,1.727,1.727,1.309,1.309,1.309,1.309,1.309,2.05,1.519,1.297,1.297,1.297,1.297,1.297,1,0.582,1,-
11,NG+11,1.767,1,1.61,1.831,1,1,1,1.831,1.831,1.831,1.831,1.831,1.312,1.312,1.312,1.312,1.312,2.103,1.61,1.375,1.375,1.375,1.375,1.375,1,0.576,1,-
12,NG+12,1.873,1,1.707,1.941,1,1,1,1.941,1.941,1.941,1.941,1.941,1.316,1.316,1.316,1.316,1.316,2.157,1.707,1.458,1.458,1.458,1.458,1.458,1,0.57,1,-
13,NG+13,1.985,1,1.809,2.057,1,1,1,2.057,2.057,2.057,2.057,1.45,1.32,1.32,1.32,1.32,1.32,2.212,1.809,1.545,1.545,1.545,1.545,1.545,1,0.564,1,-
14,NG+14,2.104,1,1.918,2.18,1,1,1,2.18,2.18,2.18,2.18,2.18,1.324,1.324,1.324,1.324,1.324,2.269,1.918,1.638,1.638,1.638,1.638,1.638,1,0.558,1,-
