#DecalParam=DECAL_PARAM_ST
ID,Name,TextureId0,dmyPolyID,pitchAngle,yawAngle,nearDistance,farDistance,nearSize,farSize,maskSpEffectID,randomVariationNum0,randomVariationNum1,randomVariationNum2,randomVariationNum3,replaceTextureId_byMaterial,dmypolyCategory0,dmypolyCategory1,decalShapeType0,decalShapeType1,decalShapeType2,decalShapeType3,useDeferredDecal,usePaintDecal,targetAttackChr,targetDamageChr,targetOtherChr,targetMapObj,usePom,0x26,0x26,0x26,0x26,0x26,0x26,0x27,0x27,0x27,0x27,0x27,0x27,0x27,0x27,randomSizeMin,randomSizeMax,randomRollMin,randomRollMax,randomPitchMin,randomPitchMax,randomYawMin,randomYawMax,pomHeightScale,pomSampleMin,pomSampleMax,Contrast1,TextureLengthType[0-3],TextureWidthX,TextureWidthZ,TextureLifeTime,0x58,0x5C,0x60,0x64,0x68,0x6C,TextureId1,TextureId2,TextureId3,Brightness,TextureId4,TextureId5,TextureId6,R(Diffuse),G(Diffuse),B(Diffuse),UnkNaM,R(Specular),G(Specular),B(Specular),DelayedSpawnState [ON_OFF],Contrast2,0x98,0x9C,0xA0,0xA1,0xA2,0xA3,minVal,maxVal,0xAC,0xAD,DecalSpawnDelay[sec],0xB0,0xB0,0xB0,0xB0,0xB0,IsContactPlayer,IsFormCube,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,TextureSpawnDelay[sec],pad1
0,Test -- テスト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
41,Oil pots (floor) -- 油壺(床),30100,-1,0,0,-0.5,10,2,2,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,170,200,-180,180,-15,15,-15,15,0,8,64,1,0,1,1,0,0,0.1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,70,40,15,0,255,255,255,0,1,0,10,0,0,1,0,1,10,2,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
510,,100000,-1,0,0,-0.5,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,1,8,64,2,0,0,0,0,1,1,-1,-1,-1,0,5200000,100000,9900000,1,100000,-1,-1,6,2,2,0,150,100,100,1,0.75,300,10,0,0,1,0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-
511,,100000,-1,0,0,-0.5,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,200,45,45,0,0,0,0,1,8,64,2,0,0,0,0,0,5,-1,-1,-1,0,100001,100000,9900000,1,100000,-1,-1,6,2,2,0,150,100,100,1,0.75,300,10,0,0,1,0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-
10510,,100000,-1,0,0,-0.5,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,1,8,64,2,0,0,0,0,1,1,-1,-1,-1,0,5200000,100000,9900000,1,100000,-1,-1,6,2,2,0,150,100,100,1,0.75,300,10,0,0,1,0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-
10511,,100000,-1,0,0,-0.5,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,200,45,45,0,0,0,0,1,8,64,2,0,0,0,0,0,5,-1,-1,-1,0,100001,100000,9900000,1,100000,-1,-1,6,2,2,0,150,100,100,1,0.75,300,10,0,0,1,0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-
20510,,100000,-1,0,0,-0.5,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,1,8,64,2,0,0,0,0,1,1,-1,-1,-1,0,5200000,100000,9900000,1,100000,-1,-1,6,2,2,0,150,100,100,1,0.75,300,10,0,0,1,0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-
20511,,100000,-1,0,0,-0.5,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,200,45,45,0,0,0,0,1,8,64,2,0,0,0,0,0,5,-1,-1,-1,0,100001,100000,9900000,1,100000,-1,-1,6,2,2,0,150,100,100,1,0.75,300,10,0,0,1,0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-
30510,,100000,-1,0,0,-0.5,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,1,8,64,2,0,0,0,0,1,1,-1,-1,-1,0,5200000,100000,9900000,1,100000,-1,-1,6,2,2,0,150,100,100,1,0.75,300,10,0,0,1,0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-
30511,,100000,-1,0,0,-0.5,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,200,45,45,0,0,0,0,1,8,64,2,0,0,0,0,0,5,-1,-1,-1,0,100001,100000,9900000,1,100000,-1,-1,6,2,2,0,150,100,100,1,0.75,300,10,0,0,1,0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-
