#EquipParamAccessory=EQUIP_PARAM_ACCESSORY_ST
ID,Name,refId0,sfxVariationId,weight,behaviorId,basicPrice,sellValue,sortId,qwcId,equipModelId,iconId,shopLv,trophySGradeId,trophySeqId,equipModelCategory,equipModelGender,accessoryCategory,refCategory,spEffectCategory,pad1,vagrantItemLotId,vagrantBonusEneDropItemLotId,vagrantItemEneDropItemLotId,IsDeposit,IsEquipOutBrake,disableMultiDropShare,IsDiscard,IsBool,0x3C,0x3C,0x3C,pad2,Costvalue,RingCompatibilityId,VowId,AchievementID,refId1,refId2,refId3,refId4,pad3
10000,Blade of the Darkmoon,111000000,-1,0,0,0,-1,10400,0,0,5131,-1,-1,-1,0,0,1,2,0,-,-1,-1,-1,1,0,0,0,0,0,0,0,-,-1,-1,1,255,0,0,0,0,-
10020,Watchdogs of Farron,111002000,-1,0,0,0,-1,10700,0,0,5132,-1,-1,-1,0,0,1,2,0,-,-1,-1,-1,1,0,0,0,0,0,0,0,-,-1,-1,6,255,0,0,0,0,-
10030,Aldrich Faithful,111003000,-1,0,0,0,-1,10800,0,0,5133,-1,-1,-1,0,0,1,2,0,-,-1,-1,-1,1,0,0,0,0,0,0,0,-,-1,-1,7,255,0,0,0,0,-
10040,Warrior of Sunlight,-1,-1,0,0,0,-1,10100,0,0,5136,-1,-1,-1,0,0,1,2,0,-,-1,-1,-1,1,0,0,0,0,0,0,0,-,-1,-1,2,255,0,0,0,0,-
10050,Mound-makers,-1,-1,0,0,0,-1,10600,0,0,5137,-1,-1,-1,0,0,1,2,0,-,-1,-1,-1,1,0,0,0,0,0,0,0,-,-1,-1,3,255,0,0,0,0,-
10060,Way of Blue,-1,-1,0,0,0,-1,10200,0,0,5135,-1,-1,-1,0,0,1,2,0,-,-1,-1,-1,1,0,0,0,0,0,0,0,-,-1,-1,8,255,0,0,0,0,-
10070,Blue Sentinels,111004000,-1,0,0,0,-1,10300,0,0,5138,-1,-1,-1,0,0,1,2,0,-,-1,-1,-1,1,0,0,0,0,0,0,0,-,-1,-1,9,255,0,0,0,0,-
10080,Rosaria's Fingers,-1,-1,0,0,0,-1,10500,0,0,5130,-1,-1,-1,0,0,1,2,0,-,-1,-1,-1,1,0,0,0,0,0,0,0,-,-1,-1,5,255,0,0,0,0,-
10090,Spears of the Church,111001000,-1,0,0,0,-1,10900,0,0,5139,-1,-1,-1,0,0,1,2,0,-,-1,-1,-1,1,0,0,0,0,0,0,0,-,-1,-1,4,255,0,0,0,0,-
20000,Life Ring,112000000,-1,0.3,0,0,150,20100,0,0,5000,-1,-1,-1,0,0,0,2,0,-,-1,-1,-1,1,0,0,1,1,0,0,0,-,1500,1,0,13,0,0,0,0,-
