#GameAreaParam=GAME_AREA_PARAM_ST
ID,Name,BonusSoul_single,BonusSoul_multi,humanityPointCountFlagIdTop,humanityDropPoint1,humanityDropPoint2,humanityDropPoint3,humanityDropPoint4,humanityDropPoint5,humanityDropPoint6,humanityDropPoint7,humanityDropPoint8,humanityDropPoint9,humanityDropPoint10,subBonusSoul_single,subbonusSoul_multi,pad1
0,Test -- テスト,10000,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
1,Test One -- テスト1,10000,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
100,Lat _ Bastards -- 石柱_なりそこない,15000,15000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
200,Ojo 1_ Phalanx (main body) -- 王城1_ファランクス（本体）,1270,1270,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
201,Ojo 2_ King's Shield -- 王城2_王の盾,8570,8570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
202,Ojo 3_ King's Sword -- 王城3_王の剣,35850,35850,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
203,Ojo 4_ King -- 王城4_レンドル王,75500,75500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
301,The old Fort 1_ referee -- 古砦1_審判者,11700,11700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
302,Old Fort 2_ Storm Warrior -- 古砦2_嵐の戦士,33750,33750,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
303,Old Fort 3_ Storm Beast -- 古砦3_嵐の獣,40400,40400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
400,1_-sama -- 牢城1_カミサマ,8430,8430,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
401,Jail 2_ Chimera -- 牢城2_キメラ,13880,13880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
402,3_ Summon NPC -- 牢城3_召喚ＮＰＣ,24700,24700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
500,Unholy 1_ Leech Daemon -- 不浄1_蛭デーモン,8249,8249,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
501,Unholy 2_ flies bummed -- 不浄2_蠅たかり,33433,33433,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
502,Unholy 3_ Saint Lee Bra -- 不浄3_聖女リーブラ,23400,23400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
600,"1_, Large spider -- 坑道1_大蜘蛛",5950,5950,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
601,Mine 2_ Flame Phantom -- 坑道2_炎怪人,22500,22500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
602,Mine 3_ Dragon Demon (mine) -- 坑道3_ドラゴンデーモン(坑道),26800,26800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
801,Tutorial _ Deb Daemon -- チュートリアル_デブデーモン,1000,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
1000800,2_ the Castle -- 城下2_貪食ドラゴン,25000,25000,8500,100,105,110,120,140,160,190,220,255,300,0,10000,-
1010700,1_ Castle -- 城下1_ハンマーデーモン,3000,3000,8520,100,105,110,120,140,160,190,220,255,300,0,10000,-
1010750,1_-Natal Demon Castle -- 城下1_ナタデーモン,6000,6000,8540,100,105,110,120,140,160,190,220,255,300,0,10000,-
1010800,Castle 1_ Gargoyle -- 城下1_ガーゴイル,10000,10000,8560,200,210,220,240,280,320,380,440,510,600,0,10000,-
1100160,Painting World _ semi-dragon Priscilla -- 絵画世界_半竜プリシラ,30000,30000,8600,200,210,220,240,280,320,380,440,510,600,0,10000,-
1200800,Forest Garden _ The Wolf of the Holy Sword -- 森庭_聖剣の狼,40000,40000,8640,100,105,110,120,140,160,190,220,255,300,0,10000,-
1200801,Forest Garden _ Dragon -- 森庭_カゲロウ龍,10000,10000,8620,100,105,110,120,140,160,190,220,255,300,0,10000,-
1210401,Past Forest _ black Dragon -- 過去森_黒竜,60000,60000,-1,100,105,110,120,140,160,190,220,255,300,0,10000,-
1210800,Past Forest _ Gold Chimera -- 過去森_金キメラ,30000,30000,-1,100,105,110,120,140,160,190,220,255,300,0,10000,-
1210820,Past Forest _ al-Triana -- 過去森_アルトリウス,50000,50000,8160,100,105,110,120,140,160,190,220,255,300,0,10000,-
1210840,Lord of the past forest -- 過去森_深淵の主,60000,60000,8180,100,105,110,120,140,160,190,220,255,300,0,10000,-
1300800,Cemetery 1_ Three Haori -- 墓地1_三人羽織,15000,15000,8660,100,105,110,120,140,160,190,220,255,300,0,10000,-
1310800,Cemetery 2_ Tomb King NITs -- 墓地2_墓王ニト,60000,60000,8680,100,105,110,120,140,160,190,220,255,300,0,10000,-
1400800,Shadow Town _ the Witch of the Flame Klagspider -- 影町_焔の魔女クラグスパイダー,20000,20000,8720,300,315,330,360,420,480,570,660,765,900,0,10000,-
1410400,Waste City _ The Fat Demon -- 廃都_デブデーモン,20000,20000,8760,100,105,110,120,140,160,190,220,255,300,0,10000,-
1410600,Waste City _ what continues to sore -- 廃都_爛れ続けるもの,20000,20000,8740,100,105,110,120,140,160,190,220,255,300,0,10000,-
1410700,Disused City _ Mucademon -- 廃都_ムカデーモン,40000,40000,8780,100,105,110,120,140,160,190,220,255,300,0,10000,-
1410800,The disused city _ the King -- 廃都_キングイザリス,60000,60000,8800,100,105,110,120,140,160,190,220,255,300,0,10000,-
1500800,Ojo 1_ Iron Golem -- 王城1_アイアンゴーレム,40000,40000,8820,100,105,110,120,140,160,190,220,255,300,0,10000,-
1510650,Ojo 2_ mother Brother -- 王城2_王母弟,40000,40000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
1510801,Ojo 2_ Huge Griffith -- 王城2_ヒュージグリフィス,50000,50000,8860,100,105,110,120,140,160,190,220,255,300,0,10000,-
1510811,Ojo 2_ Lightningsmow -- 王城2_ライトニングスモウ,50000,50000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
1600800,The Abyss -- 深淵_ジャイールデーモン,60000,60000,8880,300,315,330,360,420,480,570,660,765,900,0,10000,-
1700800,Crystal Tower _ Sheath -- 結晶塔_シース,60000,60000,8920,300,315,330,360,420,480,570,660,765,900,0,10000,-
1800800,The Great Tomb _ the King of firewood -- 大墓_薪の王,70000,70000,8940,100,105,110,120,140,160,190,220,255,300,0,10000,-
1810800,Tutorial _ Mini Deb Daemon -- チュートリアル_ミニデブデーモン,2000,2000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
1810810,Tutorial _ Deb Daemon -- チュートリアル_デブデーモン,20000,20000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
2010800,Religious District -- 宗教街_教区長,12760,12760,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
2910400,Dungeon A_ Beast of Flames -- ダンジョンA_炎の獣,18910,18910,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
2920800,Dungeon B_ Beast of Flames -- ダンジョンB_炎の獣,19330,19330,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
3000800,Ojo 1_ Daemon -- 王城1_デーモン,3000,3000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3000,3600,-
3000830,,58000,58000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2000,2000,-
3000899,,60000,60000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2000,2000,-
3010800,Ojo 2_ -- 王城2_孤王,64000,64000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5000,7000,-
3100800,City of Colossus -- 街_巨像,7000,7000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3000,3600,-
3200800,Bridge _ Mother Dragon -- 橋_母ドラゴン,70000,70000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4000,6000,-
3200851,,80000,80000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4000,6000,-
3300801,,18000,18000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2000,2000,-
3300850,,8000,8000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3000,3600,-
3410830,,85000,85000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,1000,-
3500800,The Church of the Cardinals -- 聖堂_枢機卿団,13000,13000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,1000,-
3700800,Anole _ Salivan -- アノール_サリヴァーン,50000,50000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,1000,-
3700850,Anole _ the Witch of the Moonlight -- アノール_月光の魔女,28000,28000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3000,3000,-
3800800,Waste City _ King of the Dead -- 廃都_死霊の王,22000,22000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2000,2000,-
3800830,,25000,25000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5500,7000,-
3900800,Prison _ Hallec -- 牢_ハレック,36000,36000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,1000,-
4000800,Stronghold _ Segunda -- 拠点_グンダ,3000,3000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-
4000830,,60000,60000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5000,7000,-
4100800,,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000,1000,-
4500800,,72000,72000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10000,10000,-
4500860,,60000,60000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10000,10000,-
5000801,,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10000,10000,-
5000802,,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10000,10000,-
5100800,,80000,80000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10000,10000,-
5100850,,150000,150000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10000,10000,-
5110800,,120000,120000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10000,10000,-
9901010,Boss Seoul Get verified -- ボスソウル入手検証,1000,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10000,-
9990000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
9990010,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
