#HPEstusFlaskRecoveryParam=ESTUS_FLASK_RECOVERY_PARAM_ST
ID,Name,recoveryCount0,recoveryCount1,recoveryCount2,recoveryCount3,recoveryCount4,recoveryCount5,recoveryCount6,recoveryCount7,recoveryCount8,recoveryCount9,recoveryCount10,recoveryCount11,recoveryCount12,recoveryCount13,recoveryCount14,recoveryCount15,recoveryCount16,recoveryCount17,recoveryCount18,recoveryCount19,recoveryCount20,recoveryCount21,recoveryCount22,recoveryCount23
0,Host -- ホスト,0,3,3,3,3,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1,Cooperation Pathway Clients -- 協力経路のクライアント,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
2,Intrusion Path Client -- 侵入経路のクライアント,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,1,0,0,0,0,0,0
900,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
1002,,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
1003,,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0,0,0,0
1004,,4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0,0,0,0
1005,,5,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,0,0,0,0,0,0,0
1006,,6,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,0,0,0,0,0,0,0
1007,,7,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,0,0,0,0,0,0,0
1008,,8,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,0,0,0,0,0,0,0
1009,,9,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,0,0,0,0,0,0,0
1010,,10,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,0,0,0,0,0,0,0
1011,,11,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,3,0,0,0,0,0,0,0
1012,,12,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,3,0,0,0,0,0,0,0
1013,,13,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,4,0,0,0,0,0,0,0
1014,,14,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,4,0,0,0,0,0,0,0
1015,,15,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,4,0,0,0,0,0,0,0
2001,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
100000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
