#HitEffectSfxConceptParam=HIT_EFFECT_SFX_CONCEPT_PARAM_ST
ID,Name,SfxConceptId0,SfxConceptId1,SfxConceptId2,SfxConceptId3,SfxConceptId4,SfxConceptId5,SfxConceptId6,SfxConceptId7,SfxConceptId8,SfxConceptId9,SfxConceptId10,SfxConceptId11,SfxConceptId12,SfxConceptId13,SfxConceptId14,SfxConceptId15,SfxConceptId16,SfxConceptId17,SfxConceptId18,SfxConceptId19,SfxConceptId20,SfxConceptId21,SfxConceptId22,SfxConceptId23,SfxConceptId24,SfxConceptId25,SfxConceptId26,SfxConceptId27,SfxConceptId28,SfxConceptId29,pad1
1,Cobblestone -- 石畳,10,90,380,0,20,90,20,90,450,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,90,440,90,460,90,-
2,Stone -- 石,10,90,380,0,20,90,20,90,450,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,90,440,90,460,90,-
3,Soil -- 土,40,0,380,0,40,0,40,0,450,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,40,440,40,460,40,-
4,Wood -- 木材,20,80,380,80,20,80,20,80,450,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,80,440,80,460,80,-
5,Grassland -- 草地,40,120,380,120,40,120,40,120,450,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,120,440,120,460,120,-
6,Gravel -- 砂利,10,40,380,40,40,80,40,0,450,40,0,40,0,0,0,0,0,0,0,0,0,40,0,40,430,40,440,40,460,40,-
7,Gaps -- 欠番,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
8,Trees -- 樹木,20,80,380,80,20,80,20,80,450,80,0,80,0,0,0,0,0,0,0,0,0,80,0,80,430,80,440,80,460,80,-
9,Swamp -- 沼,160,0,160,380,160,0,160,0,160,450,160,0,0,0,0,0,0,0,0,0,160,0,160,0,160,430,160,440,160,460,-
10,Nest -- 巣,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
11,Iron -- 鉄,10,0,380,0,20,10,20,0,450,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,430,10,440,10,460,10,-
12,Flesh -- 血肉,210,0,380,0,210,0,210,0,450,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,210,440,210,460,210,-
13,Sand -- 砂,10,0,380,0,20,0,20,0,450,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,30,440,30,460,30,-
14,Bone -- 骨,10,100,380,100,20,100,20,100,450,100,0,100,0,0,0,0,0,0,0,0,0,100,0,100,430,100,440,100,460,100,-
15,Ash -- 灰,10,60,380,60,60,0,60,0,450,60,0,60,0,0,0,0,0,0,0,0,0,60,0,60,430,60,440,60,460,60,-
16,Roof Tiles -- 屋根瓦,10,20,380,0,20,0,20,0,450,20,0,20,0,0,0,0,0,0,0,0,0,20,0,20,430,20,440,20,460,20,-
17,Cloth -- 布,70,0,380,0,70,0,70,0,450,70,0,70,0,0,0,0,0,0,0,0,0,70,0,70,430,70,440,70,460,70,-
18,Fallen leaves -- 落ち葉,40,140,380,0,40,140,40,140,450,140,0,140,0,0,0,0,0,0,0,0,0,140,0,140,430,140,440,140,460,140,-
19,Bell -- 鐘,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,10,440,10,460,10,-
20,Water (Puddle) -- 水（水溜り程度）,160,0,380,0,160,0,160,0,450,160,160,0,0,0,0,0,0,0,0,0,160,0,160,0,430,160,440,160,460,160,-
21,Water (ankle level) -- 水（足首程度）,160,0,380,0,160,0,160,0,450,160,160,0,0,0,0,0,0,0,0,0,160,0,160,0,430,160,440,160,460,160,-
22,Water (knee) -- 水（膝下）,160,0,380,0,160,0,160,0,450,160,160,0,0,0,0,0,0,0,0,0,160,0,160,0,430,160,440,160,460,160,-
23,Poison Swamp (shallow) -- 毒沼（浅い）,180,0,380,0,180,0,180,0,450,180,180,0,0,0,0,0,0,0,0,0,180,0,180,0,430,180,440,180,460,180,-
