#HitEffectSfxParam=HIT_EFFECT_SFX_PARAM_ST
ID,Name,HitSfxId0,HitSfxId1,HitSfxId2,HitSfxId3,HitSfxId4,HitSfxId5,HitSfxId6,HitSfxId7,HitSfxId8,HitSfxId9,HitSfxId10,HitSfxId11,HitSfxId12,HitSfxId13,HitSfxId14,HitSfxId15,pad1
0,Without -- なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
10,Spark -- 火花,201000,201001,201002,201003,201000,201000,201001,201002,201003,201000,201000,201001,201002,201003,201000,0,-
20,General smoke -- 汎用煙,202000,202001,202002,202003,202000,202000,202001,202002,202003,202000,202000,202001,202002,202003,202000,0,-
30,Dust -- 砂煙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
40,Soil -- 土,204000,204001,204002,204003,204000,204000,204001,204002,204003,204000,204000,204001,204002,204003,204000,0,-
50,Gravel -- 砂利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
60,Ash Smoke -- 灰煙,206000,206001,206002,206003,206000,206000,206001,206002,206003,206000,206000,206001,206002,206003,206000,0,-
70,Dust -- 埃,207000,207001,207002,207003,207000,207000,207001,207002,207003,207000,207000,207001,207002,207003,207000,0,-
80,Wood -- 木片,208000,208001,208002,208003,208000,208000,208001,208002,208003,208000,208000,208001,208002,208003,208000,0,-
90,A piece of stone -- 石片,209000,209001,209002,209003,209000,209000,209001,209002,209003,209000,209000,209001,209002,209003,209000,0,-
100,Bone fragments -- 骨片,210000,210001,210002,210003,210000,210000,210001,210002,210003,210000,210000,210001,210002,210003,210000,0,-
110,Crystal Pieces -- 結晶片,211000,211001,211002,211003,211000,211000,211001,211002,211003,211000,211000,211001,211002,211003,211000,0,-
120,A piece of grass -- 草片,212000,212001,212002,212002,212000,212000,212001,212002,212002,212000,212000,212001,212002,212002,212000,0,-
130,Leaves -- 葉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
140,Deciduous -- 落葉,214000,214001,214002,214003,214000,214000,214001,214002,214003,214000,214000,214001,214002,214003,214000,0,-
150,God grave net Piece -- 神墓ネット片,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
160,Splashes -- 水飛沫,216000,216001,216002,216003,216000,216000,216001,216002,216003,216000,216000,216001,216002,216003,216000,0,-
170,Mud Splash -- 泥飛沫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
180,Poison Swamp Splash -- 毒沼飛沫,218000,218001,218002,218003,218000,218000,218001,218002,218003,218000,218000,218001,218002,218003,218000,0,-
190,Oil -- 油,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
200,The front of the blood -- 血(生者)_正面,220000,220001,220002,220002,220104,220000,220001,220002,220002,220104,220000,220001,220002,220002,220104,0,-
201,On the Blood -- 血(生者)_上,220100,220101,220102,220102,220104,220100,220101,220102,220102,220104,220100,220101,220102,220102,220104,0,-
202,Under the blood -- 血(生者)_下,220200,220201,220202,220202,220104,220200,220201,220202,220202,220104,220200,220201,220202,220202,220104,0,-
203,Blood (Live) _ Left -- 血(生者)_左,220300,220301,220302,220302,220104,220300,220301,220302,220302,220104,220300,220301,220302,220302,220104,0,-
204,Blood (The Raw) _ Right -- 血(生者)_右,220400,220401,220402,220402,220104,220400,220401,220402,220402,220104,220400,220401,220402,220402,220104,0,-
210,Blood (dead) _ Front -- 血(亡者)_正面,221000,221001,221002,221002,221104,221000,221001,221002,221002,221104,221000,221001,221002,221002,221104,0,-
211,On Blood (Dead) _ -- 血(亡者)_上,221100,221101,221102,221102,221104,221100,221101,221102,221102,221104,221100,221101,221102,221102,221104,0,-
212,Blood (Dead) _ under -- 血(亡者)_下,221200,221201,221202,221202,221104,221200,221201,221202,221202,221104,221200,221201,221202,221202,221104,0,-
213,Blood (dead) _ Left -- 血(亡者)_左,221300,221301,221302,221302,221104,221300,221301,221302,221302,221104,221300,221301,221302,221302,221104,0,-
214,Blood (dead) _ Right -- 血(亡者)_右,221400,221401,221402,221402,221104,221400,221401,221402,221402,221104,221400,221401,221402,221402,221104,0,-
220,Blood (Dragon) _ Front -- 血(竜)_正面,221000,221001,221002,221002,221000,221000,221001,221002,221002,221000,221000,221001,221002,221002,221000,0,-
221,On Blood (Dragons) _ -- 血(竜)_上,221100,221101,221102,221102,221100,221100,221101,221102,221102,221100,221100,221101,221102,221102,221100,0,-
222,Under Blood (Dragon) -- 血(竜)_下,221200,221201,221202,221202,221200,221200,221201,221202,221202,221200,221200,221201,221202,221202,221200,0,-
223,Blood (Dragon) left -- 血(竜)_左,221300,221301,221302,221302,221300,221300,221301,221302,221302,221300,221300,221301,221302,221302,221300,0,-
224,Blood (Dragon) _ Right -- 血(竜)_右,221400,221401,221402,221402,221400,221400,221401,221402,221402,221400,221400,221401,221402,221402,221400,0,-
230,Caries _ Front -- 蝕_正面,223000,223001,223002,223002,223104,221000,221001,221002,223002,223104,221000,221001,221002,223002,223104,0,-
231,On caries _ -- 蝕_上,223100,223101,223102,223102,223104,221100,221101,221102,223102,223104,221100,221101,221102,223102,223104,0,-
232,Under Eclipse -- 蝕_下,223200,223201,223202,223202,223104,221200,221201,221202,223202,223104,221200,221201,221202,223202,223104,0,-
233,Eclipse left -- 蝕_左,223300,223301,223302,223302,223104,221300,221301,221302,223302,223104,221300,221301,221302,223302,223104,0,-
234,Caries right -- 蝕_右,223400,223401,223402,223402,223104,221400,221401,221402,223402,223104,221400,221401,221402,223402,223104,0,-
