#HitMtrlParam=HIT_MTRL_PARAM_ST
ID,Name,aiVolumeRate,spEffectId0,spEffectId1,FootEffectHeightType0,FootEffectHeightType1,footEffectDirType0,footEffectDirType1,newSpType0,newSpType1,unkb1,unkb2,HitMtrlType0,HitMtrlType1,HitMtrlType2,spEffectId2,spEffectId3,spEffectId4,spEffectId5,spEffectId6,spEffectId7,spEffectId8,spEffectId9,spEffectId10,spEffectId11,spEffectId12,spEffectId13,spEffectId14,spEffectId15,spEffectId16,pad1
0,Dummy -- ダミー,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
1,Cobblestone -- 石畳,1,-1,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
2,Stone -- 石,1,-1,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
3,Soil -- 土,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
4,Wood -- 木材,1,-1,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
5,Grassland -- 草地,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
6,Gravel -- 砂利,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
7,Gaps -- 欠番,1,4020,-1,0,1,1,0,0,0,0,0,0,0,0,-1,4020,4020,4020,4020,4020,4020,4020,-1,-1,-1,-1,-1,-1,-1,-
8,Trees -- 樹木,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
9,Swamp -- 沼,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
10,Nest -- 巣,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
11,Iron -- 鉄,1,-1,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
12,Flesh -- 血肉,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
