#ItemLotParam=ITEMLOT_PARAM_ST
ID,Name,ItemLotId1,ItemLotId2,ItemLotId3,ItemLotId4,ItemLotId5,ItemLotId6,ItemLotId7,ItemLotId8,LotItemCategory01,LotItemCategory02,LotItemCategory03,LotItemCategory04,LotItemCategory05,LotItemCategory06,LotItemCategory07,LotItemCategory08,LotItemBasePoint01,LotItemBasePoint02,LotItemBasePoint03,LotItemBasePoint04,LotItemBasePoint05,LotItemBasePoint06,LotItemBasePoint07,LotItemBasePoint08,cumulateLotPoint01,cumulateLotPoint02,cumulateLotPoint03,cumulateLotPoint04,cumulateLotPoint05,cumulateLotPoint06,cumulateLotPoint07,cumulateLotPoint08,GetItemFlagId01,GetItemFlagId02,GetItemFlagId03,GetItemFlagId04,GetItemFlagId05,GetItemFlagId06,GetItemFlagId07,GetItemFlagId08,getItemFlagId,cumulateNumFlagId,cumulateNumMax,LotItemRarity,LotItemNum1,LotItemNum2,LotItemNum3,LotItemNum4,LotItemNum5,LotItemNum6,LotItemNum7,LotItemNum8,EnableLuck01,EnableLuck02,EnableLuck03,EnableLuck04,EnableLuck05,EnableLuck06,EnableLuck07,EnableLuck08,cumulateReset01,cumulateReset02,cumulateReset03,cumulateReset04,cumulateReset05,cumulateReset06,cumulateReset07,cumulateReset08,ClearCount,pad1
0,DEBUG,100000,10000,240,101000,11000,0,0,0,0,268435456,1073741824,0,268435456,0,0,0,100,50,100,50,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,9,1,2,99,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-
1,DEBUG,240,240,2001,240,240,0,0,0,1073741824,1073741824,1073741824,1073741824,1073741824,0,0,0,100,100,300,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-
2,DEBUG,0,1010,1010,1013,1013,1023,1001,1001,4294967295,1073741824,1073741824,1073741824,1073741824,1073741824,1073741824,1073741824,375,20,30,20,30,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,2,0,2,1,2,1,1,3,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-1,-
10,DEBUG,400,0,0,0,0,0,0,0,1073741824,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-
2000,[Boss] Soul of Boreal Valley Vordt,719,0,0,0,0,0,0,0,1073741824,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50002000,-1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-
2010,[Boss] Soul of the Dancer,714,0,0,0,0,0,0,0,1073741824,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50002010,-1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-
2020,[Boss] Soul of Consumed Oceiros,718,0,0,0,0,0,0,0,1073741824,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50002020,-1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-
2030,[Boss] Soul of Dragonslayer Armour,721,0,0,0,0,0,0,0,1073741824,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50002030,-1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-
2040,[Boss] Cinders of a Lord,2126,0,0,0,0,0,0,0,1073741824,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50002040,-1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-
2041,[Boss] Soul of the Twin Princes,731,0,0,0,0,0,0,0,1073741824,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50002040,-1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-
