#LockCamParam=LOCK_CAM_PARAM_ST
ID,Name,CamDistTarget,rotRangeMinX,lockRotXShiftRatio,chrOrgOffsetZ,chrLockRangeMaxRadius,FovYChange,ChrLockRangeMaxRadius_forDark,ChrLockRangeMaxRadius_forPitchDark,MeleeAttackCaptureUpperLimitHeight,AttackCaptureLowerLimitHeight,AttackAutoAcquisitionAngleRangeLeft,MeleeAttackAutoAcquisitionCharacterRangeMaximumRadius,MeleeAttackAutoAcquisitionDarkCharacterRangeMaximumRadius,ProximityAttackAutoAcquisitionCharacterRangeForPureDarknessMaximumRadius,BulletAutoCaptureCharacterRangeMaximumRadius,BulletAutoCaptureDarkCharacterRangeMaximumRadius,BulletAutomaticCaptureCharacterRangeRorPureDarknessMaximumRadius,BulletAutoCapturingAngleRangeLeftAndRight,pad1
0,Default value -- デフォルト値,4,-40,0.45,1.42,15,43,9,5,0.8,2,20,4.5,4.5,4.5,15,9,5,20,-
1,Summon Magic for range designation -- 召喚魔法射程距離指定用,4,-40,0.6,1.42,30,43,20,12,0,0,0,0,0,0,0,0,0,0,-
2,【 SP 】 Test Map for Hammer warfare _ Normal Time -- 【SP】テストマップハンマー戦用_通常時,4,-40,0.2,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
3,【 SP 】 Test Map for hammer warfare _ near -- 【SP】テストマップハンマー戦用_近接時,3.5,-40,0.05,1.22,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
101,Short -- 近距離,2.2,-40,0.6,1.22,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
102,Medium -- 中距離,3.2,-40,0.6,1.32,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
103,Long distance -- 遠距離,5,-20,0.4,1.6,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
104,Centipede only -- ムカデ専用,6,-20,0.4,1.1,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
105,Dragon Zombie Only -- ドラゴンゾンビ専用,2.5,-40,0.6,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
110,usually dark -- 通常_暗闇,4,-40,0.6,1.42,7,43,4.66,2.8,0.8,2,20,4.5,4.5,2.8,7,4.66,2.8,20,-
111,Close range _ Darkness -- 近距離_暗闇,2.2,-40,0.6,1.22,7,43,4.66,2.8,0.8,2,20,4.5,4.5,2.8,7,4.66,2.8,20,-
112,Medium Range _ Darkness -- 中距離_暗闇,3.2,-40,0.6,1.32,7,43,4.66,2.8,0.8,2,20,4.5,4.5,2.8,7,4.66,2.8,20,-
113,Distant Darkness -- 遠距離_暗闇,5,-20,0.4,1.6,7,43,4.66,2.8,0.8,2,20,4.5,4.5,2.8,7,4.66,2.8,20,-
200,【 Protomap 】 Darkness -- 【プロトマップ】暗闇,4,-50,0.6,1.64,7,43,4.66,2.8,0.8,2,20,4.5,4.5,2.8,7,4.66,2.8,20,-
210,[DLC] warmonger camera of the abyss -- 【DLC】深淵の主戦用カメラ,6,-40,0.3,1.62,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
211,[DLC] Camera for al-Tri-race -- 【DLC】アルトリウス戦用カメラ,4,-40,0.3,1.42,30,43,20,12,0.8,2,20,4.5,4.5,4.5,30,20,12,20,-
212,[DLC] black dragon Warfare camera -- 【DLC】黒竜戦用カメラ,6.2,-40,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
213,[DLC] chain person war camera -- 【DLC】鎖人戦用カメラ,4,-40,0.4,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
214,[DLC] Camera for Go warfare -- 【DLC】ゴー戦用カメラ,4,-40,0.32,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
220,[DLC] Exclusive lock camera for the arena -- 【DLC】闘技場専用ロックカメラ,4,-40,0.6,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
1000,Phagocytic Dragon Only -- 貪食ドラゴン専用,6,-40,0.4,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
1010,Camera for Gargoyle -- ガーゴイル用カメラ,5,-40,0.6,1.72,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
1100,【 1st map 】 Suspension Bridge -- 【1stマップ】つり橋,6,-30,0.4,1.8,15,48,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
1101,[1st map] Long distance -- 【1stマップ】遠距離,5.5,-30,0.4,1.7,15,45,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
1102,[1st map] Boss Room -- 【1stマップ】ボス部屋,4,-10,0.7,1.62,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
1103,[1st map] Old boss Room -- 【1stマップ】旧ボス部屋,4,-55,0.6,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
1210,[DLC] Gold Chimera Camera -- 【DLC】金キメラ用カメラ,6,-40,0.2,1.62,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
1300,Near the grave -- 墓場近距離,3.3,-40,0.6,1.32,15,41.5,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
1301,Grave distance -- 墓場遠距離,5,-20,0.4,1.6,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
1410,Dedicated to the abolition of the visor -- 廃都イザリス専用,4.5,-40,0.6,1.62,15,48,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
1510,Camera for Gargoyle -- ガーゴイル用カメラ,5,-40,0.6,1.62,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
1511,Camera for Gargoyle Night -- ガーゴイル用カメラ_夜用,5,-40,0.6,1.62,7,43,4.66,2.8,0.8,2,20,4.5,4.5,2.8,7,4.66,2.8,20,-
1700,Sheath Combat Camera -- シース戦闘用カメラ,5,-40,0.6,1.62,15,43,7.5,3.75,0.8,2,20,4.5,4.5,3.75,15,7.5,3.75,20,-
2000,[SP] vs Parish General -- 【SP】vs教区長 通常,5,-20,0.3,1.5,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
2001,[SP] vs Parish Long distance -- 【SP】vs教区長 近距離,3.5,-30,0.1,1.5,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
2002,【 SP 】 Ohashi -- 【SP】大橋,4,-40,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
2003,【 SP 】 Full of statues -- 【SP】彫像いっぱい,3,-40,0.6,1.36,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
2004,【 SP 】 Avoiding sunflowers -- 【SP】ひまわり回避,4,-40,0.4,1.8,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
2010,[SP] vs fire Beast usually -- 【SP】vs炎の獣 通常,4,-40,0.27,1.2,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
2011,[SP] vs Beast of flames close range -- 【SP】vs炎の獣 近距離,6,-40,0.4,1.8,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
2090,,4.5,-30,0.6,1.62,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
2500,,4.8,0,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
2501,,4.8,0,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
3000,[FDP] vs Tracker -- 【FDP】vs追跡者,5.4,-40,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
3001,[FDP] vs Tracker (throw camera) -- 【FDP】vs追跡者（投げ時カメラ）,3,-20,0.3,1.42,15,50,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
3002,[FDP] vs Tracker (2-knife-throwing camera) -- 【FDP】vs追跡者（２刀流投げ時カメラ）,3,-20,0.3,1.42,15,50,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
3010,[FDP] Camera for distant view -- 【FDP】遠景用カメラ,6.11,-40,0.3,2.73,15,52,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
3060,,6,0,0.38,1.8,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
3100,[FDP] Ceremonial camera -- 【FDP】儀式用カメラ,3.2,0,0.3,1.25,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
3101,[FDP] Ceremonial cameras _ on the way -- 【FDP】儀式用カメラ_途中変更,3.2,-10,0.3,1,15,58,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
3102,[FDP] Camera for flame ritual changed on the way -- 【FDP】炎儀式用カメラ_途中変更,3.2,-10,0.3,1.42,15,46,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
3120,[FDP] Forest Sacred Beast _ lock-on camera -- 【FDP】森の霊獣_ロックオンカメラ,4.5,-10,0.3,2,15,46,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
3160,[FDP] Guardian Knight of the Dragon -- 【FDP】竜の守護騎士,4.8,-40,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
3161,,4.8,0,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
3200,[FDP] for Segunda -- 【FDP】グンダ用,4.45,-40,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
3201,[FDP] for snake spirits possession segunda -- 【FDP】蛇霊憑きグンダ用,5.9,-40,0.3,1.49,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
3202,[FDP] for the snake spirits -- 【FDP】蛇霊用,7,-40,0.3,2.4,30,43,30,30,0.8,2,20,4.5,4.5,4.5,30,30,30,20,-
3203,[FDP] for elevators -- 【FDP】エレベーター用,1.6,-40,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
3204,[FDP] Possession segunda-throwing snake spirits -- 【FDP】蛇霊憑きグンダ投げ演出,6.5,0,0.3,1.49,15,56,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
3300,[FDP] Full Armor Beast -- 【FDP】フルアーマー獣,6,-40,0.5,1.72,28,43,28,28,0.8,2,20,4.5,4.5,4.5,28,28,28,20,-
3301,[FDP] Stench crab -- 【FDP】死臭蟹,4.5,-40,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
5020,[FDP] Crimson Bat -- 【FDP】クリムゾンバット,5.7,-13,0.45,1.72,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
5021,,5.2,-40,0.4,1.52,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
5022,,8,-40,0.4,1.52,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
5030,[FDP] King of the Storm (cowgirl) -- 【FDP】嵐の王（騎乗）,7,-40,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
5110,,5.5,-25,0.2,1.82,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
5140,[FDP] The old king of caries -- 【FDP】蝕の老王,3.2,-40,0.6,1.15,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
5150,,6.4,-30,0.3,1.42,30,43,20,12,0.8,2,20,4.5,4.5,4.5,30,20,12,20,-
5151,,6.4,-30,0.3,2,30,43,20,12,0.8,2,20,4.5,4.5,4.5,30,20,12,20,-
5160,[FDP] King of the Dead -- 【FDP】死霊の王,6,-40,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
5180,[FDP] Cursed Colossus test -- 【FDP】呪われた巨像テスト,7,-40,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
5190,[FDP] King of the disused city: the first half -- 【FDP】廃都の孤王：前半戦,6.5,-30,0.3,1.8,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
5191,[FDP] King of the disused city: Late war -- 【FDP】廃都の孤王：後半戦,4.45,-40,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
5200,,6,-40,0.38,1.8,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
5201,,6,0,0.38,1.8,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
5230,[FDP] Mother Dragon -- 【FDP】母ドラゴン,7,-40,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
5250,[FDP] Prince of Darkness -- 【FDP】闇の双皇子,5.4,-40,0.3,1.42,30,43,30,30,0.8,2,20,4.5,4.5,4.5,30,30,30,20,-
5251,,5.4,0,0.3,1.42,30,43,30,30,0.8,2,20,4.5,4.5,4.5,30,30,30,20,-
5252,,5.4,-40,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
5260,[FDP] Mad Warrior Hallec -- 【FDP】狂戦士ハレック,4.2,-25,0.8,1.72,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
5270,,5.4,-40,0.45,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
