#LodParam=LOD_BANK
ID,Name,lv01_BorderDist,lv01_PlayDist,lv12_BorderDist,lv12_PlayDist,textureLod,pad1,lv23_BorderDist,lv23_PlayDist,lv34_BorderDist,lv34_PlayDist,lv45_BorderDist,lv45_PlayDist,DistanceScaleId [0-255],pad2
0,Default settings -- デフォルト設定,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
1,L0 Main -- L0メイン,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
2,L1 Main -- L1メイン,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
3,Not LOD -- LODしない,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
4,Testparm -- testparm,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
5,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
6,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
7,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
8,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
9,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
10,Small size -- サイズ小,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
11,Medium size -- サイズ中,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
12,Large size -- サイズ大,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
13,Size Oversized -- サイズ特大,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
14,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
15,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
16,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
17,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
18,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
19,Don't switch to LOD models -- LODモデルに切り替わらない,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
20,Lake Beast -- 湖獣,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
21,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
22,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
23,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
24,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
25,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
26,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
27,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
28,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
29,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
30,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
31,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
32,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
33,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
34,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
35,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
36,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
37,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
38,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
39,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
40,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
