#Magic=MAGIC_PARAM_ST
ID,Name,yesNoDialogMessageId,LimitCancelSpEffectId,sortId,refId,refIdFpCost1,refIdSpCost1,iconId,behaviorId,mtrlItemId,replaceMagicId,maxQuantity,heroPoint,overDexterity,sfxVariationId,slotLength,requirementIntellect,requirementFaith,analogDexterityMin,analogDexterityMax,ezStateBehaviorType,refCategory1,spEffectCategory,refType,menuType,refCategory4,hasSpEffectType,VowType0,VowType1,VowType2,VowType3,VowType4,VowType5,VowType6,VowType7,enableMulti,enableMultOnly,isEnchant,isShieldEnchant,enable_live,enable_gray,enable_white,enable_black,disable_offline,castResonanceMagic,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,VowType8,VowType9,VowType10,VowType11,VowType12,VowType13,VowType14,VowType15,Unk7,Unk8,CastSfx1,CastSfx2,CastSfx3,Unk9,AttributeType,AttributeVal0,AttributeVal1,AttributeVal2,AttributeVal3,refCategory2,refIdSpCost4,magicId0,magicId1,magicId2,magicId3,refIdFpCost2,refIdSpCost2,Unk10,refCategory3,refIdFpCost4,refIdFpCost3,refIdSpCost3,refId1,refId2,refId3,refId4,pad1
1200000,Farron Dart,0,-1,3000,0,3,15,4130,0,-1,0,-1,0,99,69,1,8,0,10,50,0,1,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,522000,522001,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,11200000,-1,-1,-1,-
1210000,Great Farron Dart,0,-1,3001,0,4,18,4131,0,-1,0,-1,0,99,69,1,23,0,10,50,0,1,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,522100,522101,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,11210000,-1,-1,-1,-
1300000,Soul Arrow,0,-1,3002,0,7,35,4000,0,-1,0,-1,0,99,4,1,10,0,10,50,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523000,523001,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,11300000,-1,-1,-1,-
1301000,Great Soul Arrow,0,-1,3003,0,10,45,4001,0,-1,0,-1,0,99,91,1,15,0,10,50,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523010,523011,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,11301000,-1,-1,-1,-
1302000,Heavy Soul Arrow,0,-1,3004,0,11,45,4002,0,-1,0,-1,0,99,90,1,13,0,10,50,0,1,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523020,523021,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,11302000,-1,-1,-1,-
1303000,Great Heavy Soul Arrow,0,-1,3005,0,14,65,4003,0,-1,0,-1,0,99,91,1,18,0,10,50,0,1,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523030,523031,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,11303000,-1,-1,-1,-
1304000,Homing Soulmass,0,-1,3006,0,20,70,4004,0,-1,0,-1,0,99,92,1,20,0,10,50,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523040,523041,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,11304000,-1,-1,-1,-
1305000,Homing Crystal Soulmass,0,-1,3007,0,43,70,4005,0,-1,0,-1,0,99,92,1,30,0,10,50,0,1,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523050,523051,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,11305000,-1,-1,-1,-
1306000,Soul Spear,0,-1,3008,0,32,55,4006,0,-1,0,-1,0,99,93,1,32,0,10,50,0,1,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523060,523061,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,11306000,-1,-1,-1,-
1307000,Crystal Soul Spear,0,-1,3009,0,46,65,4007,0,-1,0,-1,0,99,93,1,48,0,10,50,0,1,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523070,523071,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,11307000,-1,-1,-1,-
1308000,Deep Soul,0,-1,3010,0,6,20,4099,0,-1,0,-1,0,99,93,1,12,0,10,50,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523080,523081,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,11308000,-1,-1,-1,-
1309000,Great Deep Soul,0,-1,3011,0,9,28,4101,0,-1,0,-1,0,99,93,1,20,0,10,50,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523090,523091,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,11309000,-1,-1,-1,-
1310000,Magic Weapon,0,-1,3012,0,25,60,4008,0,-1,0,-1,0,99,78,1,10,0,10,50,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,255,523100,523101,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,101310000,-1,-1,-1,-
1311000,Great Magic Weapon,0,-1,3013,0,35,60,4009,0,-1,0,-1,0,99,79,1,15,0,10,50,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,255,523110,523111,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,101311000,-1,-1,-1,-
1312000,Crystal Magic Weapon,0,-1,3014,0,45,60,4010,0,-1,0,-1,0,99,84,1,30,0,10,50,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,255,523120,523121,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,101312000,-1,-1,-1,-
1313000,Frozen Weapon,0,-1,3013,0,30,60,4135,0,-1,0,-1,0,99,79,1,15,0,10,50,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,255,528000,528001,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,101313000,-1,-1,-1,-
1330000,Magic Shield,0,-1,3015,0,30,40,4011,0,-1,0,-1,0,99,41,1,10,0,10,50,0,2,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,255,523300,523301,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,101330000,-1,-1,-1,-
1331000,Great Magic Shield,0,-1,3016,0,60,85,4012,0,-1,0,-1,0,99,42,1,18,0,10,50,0,2,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,255,523310,523311,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,101331000,-1,-1,-1,-
1340000,Hidden Weapon,0,-1,3017,0,25,30,4013,0,-1,0,-1,0,99,9,1,12,0,10,50,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,255,523400,523401,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,101340000,-1,-1,-1,-
1341000,Hidden Body,0,-1,3018,0,25,50,4014,0,-1,0,-1,0,99,10,1,15,0,10,50,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523410,523411,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,101341000,-1,-1,-1,-
1350000,Cast Light,0,-1,3019,0,20,30,4015,0,-1,0,-1,0,99,39,1,15,0,10,50,0,2,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523500,523501,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,101350000,-1,-1,-1,-
1353000,Repair,0,-1,3021,0,20,50,4017,0,-1,0,-1,0,99,43,1,15,0,10,50,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523530,523531,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,101353000,-1,-1,-1,-
1354000,Spook,0,-1,3022,0,15,30,4018,0,-1,0,-1,0,99,44,1,10,0,10,50,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523540,-1,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,101354000,-1,-1,-1,-
1355000,Chameleon,0,-1,3023,0,20,60,4019,0,-1,0,-1,0,99,25,1,12,0,10,50,0,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523550,523551,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,101355000,-1,-1,-1,-
1356000,Aural Decoy,0,-1,3024,0,15,30,4065,0,-1,0,-1,0,99,40,1,18,0,10,50,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523560,523561,-1,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,11356000,-1,-1,-1,-
1370000,White Dragon Breath,0,-1,3025,0,25,50,4057,0,-1,0,-1,0,99,69,1,50,0,10,50,0,1,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523700,523701,-1,0,3,-1,-1,-1,-1,1,0,-1,-1,-1,-1,25,50,0,0,0,0,0,-1,11370000,-1,-1,-
1372000,Farron Hail,0,-1,3026,0,4,8,4059,0,-1,0,-1,0,99,69,1,28,0,10,50,0,1,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523720,523721,-1,0,3,-1,-1,-1,-1,1,0,-1,-1,-1,-1,4,7,0,0,0,0,0,11372000,11372100,-1,-1,-
1373000,Crystal Hail,0,-1,3027,0,19,25,4060,0,-1,0,-1,0,99,40,1,18,0,10,50,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523730,523731,-1,0,3,-1,-1,-1,-1,1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,11373000,11373300,-1,-1,-
1374000,Soul Greatsword,0,-1,3028,0,23,40,4061,0,-1,0,-1,0,99,40,1,22,0,10,50,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523740,523741,523742,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,23,40,0,0,0,0,0,201374000,201374100,-1,-1,-
1375000,Farron Flashsword,0,-1,3029,0,4,20,4102,0,-1,0,-1,0,99,69,1,23,0,10,50,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,523750,523751,523752,0,3,-1,-1,-1,-1,0,0,-1,-1,-1,-1,4,20,0,0,0,0,0,201375000,201375100,-1,-1,-
1376000,Old Moonlight,0,-1,-1,0,23,40,4144,0,-1,0,-1,0,99,18,1,25,0,10,50,0,0,3,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,528900,528901,528902,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,23,40,0,1,0,0,0,201376010,201376020,11376000,11376100,-
1603000,Affinity,0,-1,3030,0,40,55,4106,0,-1,0,-1,0,99,12,1,32,0,10,50,0,1,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,526030,526031,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,11603000,-1,-1,-1,-
1604000,Great Soul Dregs,0,-1,-1,0,30,55,4145,0,-1,0,-1,0,99,18,1,40,0,10,50,0,1,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,528800,528801,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,11604000,-1,-1,-1,-
1613000,Dark Edge,0,-1,3031,0,26,45,4126,0,-1,0,-1,0,99,6,1,30,0,10,50,0,0,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,526130,526131,526132,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,26,45,0,0,0,0,0,201613000,201613100,-1,-1,-
1620000,Soul Stream,0,-1,3032,0,55,100,4104,0,-1,0,-1,0,99,6,2,45,0,10,50,0,1,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,526250,-1,-1,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,0,0,0,1,0,0,0,11620300,11620200,11620000,-1,-
1651000,Twisted Wall of Light,0,-1,3033,0,10,30,4115,0,-1,0,-1,0,99,6,1,27,0,10,50,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,526510,526511,-1,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,11651000,11651100,-1,-1,-
1740000,Pestilent Mist,0,-1,3034,0,13,20,4125,0,-1,0,-1,0,99,6,1,30,0,10,50,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,527400,527401,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,11740000,-1,-1,-1,-
1741000,Snap Freeze,0,-1,3112,0,16,30,4136,0,-1,0,-1,0,99,18,1,18,0,10,50,0,1,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,528100,528101,-1,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,0,0,0,1,0,16,40,-1,11741030,11741020,-1,-
2400000,Fireball,0,-1,3100,0,10,35,4021,0,-1,0,-1,0,99,85,1,6,6,10,50,2,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,524000,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,12400000,-1,-1,-1,-
2402000,Fire Orb,0,-1,3101,0,14,45,4023,0,-1,0,-1,0,99,87,1,8,8,10,50,2,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,524020,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,12402000,-1,-1,-1,-
2403000,Firestorm,0,-1,3102,0,2,95,4024,0,-1,0,-1,0,99,88,1,18,0,10,50,2,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,255,524030,524031,-1,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,10,0,0,0,0,0,0,12403000,12403500,-1,-1,-
