#MapMimicryEstablishmentParam=MAP_MIMICRY_ESTABLISHMENT_PARAM_ST
ID,Name,RandomizerCoefficient0,RandomizerCoefficient1,RandomizerCoefficient2,TransformVfxId0,LoopVfxId0,DestroyVfxId0,TransformVfxId1,LoopVfxId1,DestroyVfxId1,TransformVfxId2,LoopVfxId2,DestroyVfxId2,pad1
0,Do not erase -- 消すべからず,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
300000000,,500,500,-1,430000,430001,430002,430030,430031,430032,-1,-1,-1,-
300000001,,1000,-1,-1,430010,430011,430012,-1,-1,-1,-1,-1,-1,-
300100000,,300,300,300,430040,430041,430042,430050,430051,430052,430060,430061,430062,-
310000000,,400,400,200,431000,431001,431002,431010,431011,431012,431020,431021,431022,-
320000000,,400,400,200,432000,432001,432002,432010,432011,432012,432020,432021,432022,-
330000000,,300,300,300,430040,430041,430042,433010,433011,433012,433020,433021,433022,-
330000001,,300,300,300,430040,430041,430042,433000,433001,433002,433010,433011,433012,-
340100000,,500,500,-1,430080,430081,430082,430090,430091,430092,-1,-1,-1,-
340100001,,1000,-1,-1,430070,430071,430072,-1,-1,-1,-1,-1,-1,-
350000000,,400,200,400,434000,434001,434002,434030,434031,434032,434040,434041,434042,-
350000001,,300,300,300,430040,430041,430042,434010,434011,434012,434020,434021,434022,-
370000000,,500,500,-1,435000,435001,435002,435010,435011,435012,-1,-1,-1,-
370000001,,500,500,-1,430000,430001,430002,435030,435031,435032,-1,-1,-1,-
370000002,,1000,-1,-1,435020,435021,435022,-1,-1,-1,-1,-1,-1,-
380000000,,300,300,300,436000,436001,436002,436020,436021,436022,436030,436031,436032,-
380000001,,500,500,-1,436000,436001,436002,436040,436041,436042,-1,-1,-1,-
390000000,,500,500,-1,437000,437001,437002,437010,437011,437012,-1,-1,-1,-
400000000,,500,500,-1,438000,438001,438002,438010,438011,438012,-1,-1,-1,-
410000000,,500,500,-1,430000,439011,439012,439000,439001,439002,-1,-1,-1,-
450000000,,500,500,-1,439030,439031,439032,439020,439021,439022,-1,-1,-1,-
450000001,,400,400,200,430040,430041,430042,438000,438001,438002,439060,439061,439062,-
450000002,,500,500,-1,439030,439031,439032,439020,439021,439022,-1,-1,-1,-
450000003,,400,400,200,430040,430041,430042,434000,434001,434002,439060,439061,439062,-
450000004,,400,400,200,430040,430041,430042,434000,434001,434002,439040,439041,439042,-
450000005,,1000,-1,-1,439050,439051,439052,-1,-1,-1,-1,-1,-1,-
460000000,,400,400,200,-1,430011,430012,-1,430061,430062,-1,430071,430072,-
470000000,,500,500,-1,430000,439011,439012,439000,439001,439002,-1,-1,-1,-
500000000,,400,400,200,-1,439071,439072,-1,439081,439082,-1,439091,439092,-
500000001,,400,400,200,-1,439071,439072,-1,439081,439082,-1,439101,439102,-
510000000,,300,500,200,-1,439151,439152,-1,439121,439122,-1,439141,439142,-
510000001,,500,500,-1,-1,439151,439152,-1,439161,439162,-1,-1,-1,-
510000002,,200,500,300,-1,439151,439152,-1,439131,439132,-1,439111,439112,-
510000003,,500,500,-1,-1,439151,439152,-1,439111,439112,-1,-1,-1,-
510000004,,1000,-1,-1,-1,439131,439132,-1,-1,-1,-1,-1,-1,-
510000005,,400,400,200,-1,439151,439152,-1,439161,439162,-1,439141,439142,-
510100000,,500,500,-1,-1,439171,439172,-1,439181,439182,-1,0,0,-
530000000,,400,400,200,-1,432001,432002,-1,432011,432012,-1,432021,432022,-
540000000,,400,400,200,435000,435001,435002,435010,435011,435012,435020,435021,435022,-
