#MenuPropertySpecParam=MENUPROPERTY_SPEC
ID,Name,CaptionTextId,IconId,RequiredPropertyId,CompareType,RequiredPropertyFormatId,AdhocCaption
0,---- -- ----,0,-1,0,0,0,
100,[Item common name] -- 【アイテム共通】 名前,0,-1,0,0,0,名前
101,[Item Common] Description -- 【アイテム共通】 説明,0,-1,0,0,0,説明
102,[Item common] Unchiku -- 【アイテム共通】 うんちく,0,-1,0,0,0,うんちく
103,[Items Common] weight -- 【アイテム共通】 重量,11351,9003,0,2,0,重量
110,[Item common] number of possession -- 【アイテム共通】 所持数,11004,9007,0,0,0,所持数
111,[Item Common] Possession number _ maximum value -- 【アイテム共通】 所持数_最大値,0,9007,0,0,0,最大所持数
112,Number of items in the warehouse -- 【アイテム共通】 倉庫所持数,11005,9008,0,0,0,倉庫所持数
113,[Item common] Warehouse possession number _ maximum value -- 【アイテム共通】 倉庫所持数_最大値,0,9008,0,0,0,最大倉庫所持数
120,[Items common] required Seoul -- 【アイテム共通】 必要ソウル,12000,8002,0,0,2,必要ソウル
121,[Items common] earning soul -- 【アイテム共通】 獲得ソウル,12010,8038,0,0,0,獲得ソウル
200,,11360,9033,0,0,90,使用タイプ
201,,11310,8009,0,1,100,能力補正 筋力
202,,11311,8010,0,1,100,能力補正 技量
203,,11312,8011,0,1,100,能力補正 理力
204,,11313,8012,0,1,100,能力補正 信仰
205,,11041,9005,0,2,0,消費MP
300,Weapon type -- 【武器】 武器種別,11001,9000,0,0,120,武器種別
301,Weapon: Attack attributes -- 【武器】 攻撃属性,11003,9001,0,0,2,攻撃属性
302,【 Weapon 】 Arts name -- 【武器】 アーツ名,11006,9031,0,1,2,戦技名
310,[Weapon] Attack Force: Physics -- 【武器】 攻撃力：物理,11010,9009,0,1,0,物理攻撃力
311,[Weapon] Attack power: Magic -- 【武器】 攻撃力：魔法,11011,9010,0,1,0,魔法攻撃力
312,[Weapon] Attack force: Flame -- 【武器】 攻撃力：炎,11012,9011,0,1,0,炎攻撃力
313,[Weapon] Attack power: Thunder -- 【武器】 攻撃力：雷,11013,9012,0,1,0,雷攻撃力
314,[Weapon] Attack power: Darkness -- 【武器】 攻撃力：闇,11014,9013,0,1,0,闇攻撃力
315,[Weapon] Additional attack force: Physics -- 【武器】付加攻撃力：物理,0,-1,0,1,1,付加攻撃力：物理
316,[Weapon] additional attack force: Magic -- 【武器】 付加攻撃力：魔法,0,-1,0,1,1,付加攻撃力：魔法
317,[Weapon] Additional attack force: Flame -- 【武器】 付加攻撃力：炎,0,-1,0,1,1,付加攻撃力：炎
318,[Weapon] Additional attack force: Thunder -- 【武器】 付加攻撃力：雷,0,-1,0,1,1,付加攻撃力：雷
319,[Weapon] Additional attack force: Darkness -- 【武器】 付加攻撃力：闇,0,-1,0,1,1,付加攻撃力：闇
320,Weapon Range -- 【武器】 射程距離,11032,9016,0,1,0,射程距離
321,[Weapon] Magic power correction -- 【武器】 魔法威力修正,11033,9015,0,1,0,魔法威力修正
322,【 Weapon 】 Deadlier -- 【武器】 致命,11030,9014,0,1,0,致命
330,【 Weapon 】 Special effects: Poison -- 【武器】 特殊効果：毒,11050,8027,0,1,0,毒効果
331,【 Weapon 】 Special effects: Bleeding -- 【武器】 特殊効果：出血,11051,8026,0,1,0,出血効果
332,【 Weapon 】 Special effects: Sacred -- 【武器】 特殊効果：神聖,11052,-1,0,1,0,神聖効果
333,【 Weapon 】 Special effects: Voodoo -- 【武器】 特殊効果：邪教,11053,-1,0,1,0,邪教効果
334,【 Weapon 】 Special effects: cold air -- 【武器】 特殊効果：冷気,11054,8029,0,1,0,冷気効果
340,【 weapon 】 Damage cut rate: physical -- 【武器】 ダメージカット率：物理,11020,9017,0,1,2,カット率 物理
341,[Weapon] damage cut rate: Magic -- 【武器】 ダメージカット率：魔法,11021,9018,0,1,2,カット率 魔法
342,【 weapon 】 Damage cut rate: Flame -- 【武器】 ダメージカット率：炎,11022,9019,0,1,2,カット率 炎
