#MenuValueTableParam=MENU_VALUE_TABLE_SPEC
ID,Name,Value,TextId,CompareType,pad1
90,,1,11330,1,-
91,,0,11331,2,-
100,A table that converts a number to an e-s character -- 数値をE～Sの文字へ変換するテーブル,141,11321,1,-
101,,101,11322,1,-
102,,81,11323,1,-
103,,51,11324,1,-
104,,21,11325,1,-
105,,1,11326,1,-
106,,0,11320,2,-
110,Pledge -- 誓約,0,11320,0,-
111,,1,41001,0,-
112,,2,41002,0,-
113,,3,41003,0,-
114,,4,41004,0,-
115,,5,41005,0,-
116,,6,41006,0,-
117,,7,41007,0,-
118,,8,41008,0,-
119,,9,41009,0,-
120,,1,60010,0,-
121,,3,60015,0,-
122,,5,60020,0,-
123,,7,60025,0,-
124,,9,60030,0,-
125,,11,60035,0,-
126,,13,60040,0,-
127,,15,60045,0,-
128,,17,60050,0,-
129,,19,60055,0,-
130,,21,60060,0,-
131,,23,60065,0,-
132,,25,60070,0,-
133,,27,60075,0,-
134,,29,60080,0,-
135,,31,60085,0,-
136,,33,60090,0,-
137,,35,60090,0,-
138,,37,60100,0,-
139,,39,60155,0,-
140,,51,60105,0,-
141,,53,60110,0,-
142,,55,60115,0,-
143,,57,60120,0,-
144,,59,60125,0,-
145,,61,60130,0,-
146,,63,60135,0,-
147,,65,60140,0,-
148,,67,60145,0,-
149,,69,60150,0,-
150,,81,60160,0,-
151,,83,60165,0,-
152,,85,60170,0,-
153,,87,60175,0,-
154,,101,60011,0,-
155,,103,60016,0,-
156,,105,60026,0,-
157,,107,60031,0,-
158,,109,60041,0,-
159,,111,60051,0,-
160,,113,60061,0,-
161,,115,60071,0,-
162,,117,60017,0,-
163,,119,60046,0,-
164,,121,60086,0,-
165,,131,60151,0,-
166,,133,60027,0,-
