#MoveParam=MOVE_PARAM_ST
ID,Name,stayId,walkF,walkB,walkL,walkR,dashF,dashB,dashL,dashR,superDash,escapeF,escapeB,escapeL,escapeR,turnL,turnR,largeTurnL,largeTurnR,stepMove,flyStay,flyWalkF,flyWalkFL,flyWalkFR,flyWalkFL2,flyWalkFR2,flyDashF,flyDashFL,flyDashFR,flyDashFL2,flyDashFR2,dashEscapeF,dashEscapeB,dashEscapeL,dashEscapeR,analogMoveParamId,turnNoAnimAngle,turn45Angle,turn90Angle,turnWaitNoAnimAngle
0,Lightweight -- 軽量,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,180,180,180,180
1,Lightweight + -- 軽量＋,0,200,201,202,203,500,501,502,503,510,705,706,707,708,602,603,604,605,681,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,900,-1,-1,-1,-1,0,0,0,0
5,Medium Amount -- 中量,0,300,301,302,303,550,551,552,553,760,710,711,712,713,602,603,604,605,690,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,900,-1,-1,-1,-1,0,0,0,0
6,Medium Amount + -- 中量＋,0,300,301,302,303,550,551,552,553,760,715,716,717,718,602,603,604,605,691,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,900,-1,-1,-1,-1,0,0,0,0
10,Weight -- 重量,0,310,311,312,313,560,561,562,563,770,720,721,722,723,602,603,604,605,695,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,900,-1,-1,-1,-1,0,0,0,0
15,Over weight -- 重量オーバー,0,310,311,312,313,-1,-1,-1,-1,-1,730,731,732,733,602,603,604,605,696,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,900,-1,-1,-1,-1,0,0,0,0
16,Super light -- 超軽量,0,200,201,202,203,500,501,502,503,510,735,736,737,738,602,603,604,605,697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,900,-1,-1,-1,-1,0,0,0,0
20,Mimicry _ Light Weight -- 擬態_軽量,0,200,201,202,203,-1,-1,-1,-1,-1,700,701,702,703,602,603,604,605,680,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,900,-1,-1,-1,-1,0,0,0,0
21,Mimicry _ lightweight + -- 擬態_軽量＋,0,200,201,202,203,-1,-1,-1,-1,-1,705,706,707,708,602,603,604,605,681,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,900,-1,-1,-1,-1,0,0,0,0
25,Mimicry _ Medium Volume -- 擬態_中量,0,300,301,302,303,-1,-1,-1,-1,-1,710,711,712,713,602,603,604,605,690,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,900,-1,-1,-1,-1,0,0,0,0
26,Mimicry _ Medium Amount + -- 擬態_中量＋,0,300,301,302,303,-1,-1,-1,-1,-1,715,716,717,718,602,603,604,605,691,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,900,-1,-1,-1,-1,0,0,0,0
30,Mimicry weight -- 擬態_重量,0,310,311,312,313,-1,-1,-1,-1,-1,720,721,722,723,602,603,604,605,695,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,900,-1,-1,-1,-1,0,0,0,0
35,Mimicry _ over Weight -- 擬態_重量オーバー,0,310,311,312,313,-1,-1,-1,-1,-1,730,731,732,733,602,603,604,605,696,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,900,-1,-1,-1,-1,0,0,0,0
36,Mimicry _ ultra-light -- 擬態_超軽量,0,200,201,202,203,-1,-1,-1,-1,-1,735,736,737,738,602,603,604,605,697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,900,-1,-1,-1,-1,0,0,0,0
40,Underwater (deep) _ Lightweight -- 水中（深）_軽量,0,300,301,302,303,-1,-1,-1,-1,550,700,701,702,703,602,603,604,605,690,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
41,Underwater (deep) _ Lightweight + -- 水中（深）_軽量＋,0,300,301,302,303,-1,-1,-1,-1,550,705,706,707,708,602,603,604,605,691,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
45,Underwater (deep) _ Medium volume -- 水中（深）_中量,0,310,311,312,313,-1,-1,-1,-1,560,710,711,712,713,602,603,604,605,695,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
46,Underwater (deep) _ Medium Volume + -- 水中（深）_中量＋,0,310,311,312,313,-1,-1,-1,-1,560,715,716,717,718,602,603,604,605,695,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
50,Underwater (deep) _ Weight -- 水中（深）_重量,0,310,311,312,313,-1,-1,-1,-1,560,720,721,722,723,602,603,604,605,695,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
55,Underwater (deep) _ Over weight -- 水中（深）_重量オーバー,0,310,311,312,313,-1,-1,-1,-1,-1,730,731,732,733,602,603,604,605,696,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
56,Underwater (deep) _ Ultra-Light -- 水中（深）_超軽量,0,300,301,302,303,-1,-1,-1,-1,550,700,701,702,703,602,603,604,605,690,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
60,【 SP 】 Guard Vigilance _ Lightweight -- 【SP】ガード警戒_軽量,0,310,311,312,313,-1,-1,-1,-1,-1,730,731,732,733,602,603,604,605,696,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
61,【 SP 】 Guard Vigilance _ lightweight + -- 【SP】ガード警戒_軽量＋,0,310,311,312,313,-1,-1,-1,-1,-1,730,731,732,733,602,603,604,605,696,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
65,【 SP 】 Guard Vigilance _ medium volume -- 【SP】ガード警戒_中量,0,310,311,312,313,-1,-1,-1,-1,-1,730,731,732,733,602,603,604,605,696,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
