#MultiHPEstusFlaskBonusParam=MULTI_ESTUS_FLASK_BONUS_PARAM_ST
ID,Name,estusFlaskRestoreCount0,estusFlaskRestoreCount1,estusFlaskRestoreCount2,estusFlaskRestoreCount3,estusFlaskRestoreCount4,estusFlaskRestoreCount5,estusFlaskRestoreCount6,estusFlaskRestoreCount7,estusFlaskRestoreCount8,estusFlaskRestoreCount9,estusFlaskRestoreCount10,estusFlaskRestoreCount11,estusFlaskRestoreCount12,estusFlaskRestoreCount13,estusFlaskRestoreCount14,estusFlaskRestoreCount15,estusFlaskRestoreCount16,estusFlaskRestoreCount17,estusFlaskRestoreCount18,estusFlaskRestoreCount19
0,,0,0,0,0,0,0,0,2,2,2,0,0,2,2,0,0,0,0,0,0
1000,,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
1100,,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
1200,,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
2000,,0,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0
2100,,0,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0
2200,,0,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0
3000,,0,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0
3100,,0,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0
3200,,0,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0
4000,,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
4100,,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
5000,,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
5100,,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
6000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7000,,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
