#MultiPlayCorrectionParam=MULTI_PLAY_CORRECTION_PARAM_ST
ID,Name,CorrectionVal0,CorrectionVal1,CorrectionVal2,CorrectionVal3,pad1
0,Do not erase -- 消すべからず,10,20,30,1,-
10,Test Data 2 -- テストデータ2,100,200,300,0,-
100,Super Ability -- ザコ,140001,140002,140003,1,-
200,Formidable -- 強敵,140101,140102,140103,1,-
300,Boss -- ボス,140201,140202,140203,0,-
301,,140201,140202,140203,0,-
302,,140311,140312,140313,0,-
303,,140201,140202,140203,0,-
304,,140231,140232,140233,0,-
305,,140301,140302,140303,0,-
306,,140291,140292,140293,0,-
307,,140201,140202,140203,0,-
308,,140251,140252,140253,0,-
309,,140201,140202,140203,0,-
310,,140201,140202,140203,0,-
311,,140211,140212,140213,0,-
312,,140331,140332,140333,0,-
313,,140201,140202,140203,0,-
314,,140261,140262,140263,0,-
315,,140271,140272,140273,0,-
316,,140281,140282,140283,0,-
317,,140201,140202,140203,0,-
318,,140241,140242,140243,0,-
319,,140221,140222,140223,0,-
320,,140321,140322,140323,0,-
321,,140341,140342,140343,0,-
322,,140351,140352,140353,0,-
323,,140361,140362,140363,0,-
330,,140381,140382,140383,0,-
331,,140371,140372,140373,0,-
332,,140391,140392,140393,0,-
333,,140401,140402,140403,0,-
334,,140411,140412,140413,0,-
335,,140421,140422,140423,0,-
336,,140431,140432,140433,0,-
337,,140441,140442,140443,0,-
338,,140451,140452,140453,0,-
339,,140461,140462,140463,0,-
