#MultiSoulBonusRateParam=MULTI_SOUL_BONUS_RATE_PARAM_ST
ID,Name,soulMultiplierRate0,soulMultiplierRate1,soulMultiplierRate2,soulMultiplierRate3,soulMultiplierRate4,soulMultiplierRate5,soulMultiplierRate6,soulMultiplierRate7,soulMultiplierRate8,soulMultiplierRate9,soulMultiplierRate10,soulMultiplierRate11,soulMultiplierRate12,soulMultiplierRate13,soulMultiplierRate14,soulMultiplierRate15,pad1
0,,0,0,0,0.02,0.02,0.02,0.02,0.15,0.15,0.15,0,0,0.1,0.1,0,0,-
1000,,0,0,0,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0,0,0.05,0.05,0,0,-
1100,,0,0,0,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0,0,0.05,0.05,0,0,-
1200,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,-
2000,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,-
2100,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,-
2200,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,-
3000,,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0,0,-
3100,,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0,0,-
3200,,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0,0,-
4000,,0,0,0,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0,0,0.05,0.05,0,0,-
4100,,0,0,0,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0,0,0.05,0.05,0,0,-
5000,,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0,0,0,0,-
5100,,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0,0,0,0,-
6000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
7000,,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0,0,0,0,-
