#NetworkAreaParam=NETWORK_AREA_PARAM_ST
ID,Name,LimitationTime0,LimitationTime1,LimitationTime2,pad1,isEnable00,isEnable01,isEnable02,unkb1,unkb2,unkb3,unkb4,unkb5,pad2
0,Default (delete not allowed) -- デフォルト（削除禁止）,30,20,30,-,0,0,0,0,0,0,0,0,-
300000,Ojo of caries 1 -- 蝕の王城1,30,20,30,-,1,1,1,1,1,1,0,0,-
301000,,30,20,30,-,1,1,1,1,1,1,0,0,-
307000,,30,20,30,-,1,1,1,1,1,1,0,0,-
310000,City of Towers -- 塔の街,30,20,30,-,1,1,1,1,1,1,0,0,-
320000,The Bridge of Flying Dragon -- 飛竜の橋,30,20,30,-,1,1,1,1,1,1,0,0,-
330000,Poison Swamp Forest -- 毒沼の森,30,20,30,-,1,1,1,1,1,1,0,0,-
341000,Ojo of caries 3 -- 蝕の王城3,30,20,30,-,1,1,1,1,1,1,0,0,-
350000,Cathedral Church -- 聖堂教会,30,20,30,-,1,1,1,1,1,1,0,0,-
370000,Anole ruins -- アノール遺跡,30,20,30,-,1,1,1,1,1,1,0,0,-
380000,Dungeon -- ダンジョン,30,20,30,-,1,1,1,1,1,1,0,0,-
390000,Dungeon -- 地下牢,30,20,30,-,1,1,1,1,1,1,0,0,-
400000,Base -- 拠点,30,20,30,-,1,1,1,1,1,1,0,0,-
410000,,30,20,30,-,1,1,1,1,1,1,0,0,-
450000,,30,20,30,-,1,1,1,1,1,1,0,0,-
460000,,30,20,30,-,0,0,0,0,0,0,0,0,-
470000,,30,20,30,-,0,0,0,0,0,0,0,0,-
500000,,30,20,30,-,1,1,1,1,1,1,0,0,-
510000,,30,20,30,-,1,1,1,1,1,1,0,0,-
511000,,30,20,30,-,1,1,1,1,1,1,0,0,-
530000,,30,20,30,-,0,0,0,0,0,0,0,0,-
540000,,30,20,30,-,0,0,0,0,0,0,0,0,-
981000,Multi-Play Test map -- マルチプレイテストマップ,30,20,30,-,1,1,1,1,1,1,0,0,-
991000,Old multi-play test map -- 旧マルチプレイテストマップ,30,20,30,-,1,1,1,1,1,1,0,0,-
