#NpcAiActionParam=NPC_AI_ACTION_PARAM_ST
ID,Name,directionMovementId,actId0,actId1,actId2,isDisableDirectionMovement,isDisableAct0,isDisableAct1,isDisableAct2,actType,isDisableAiCheck,pad1
0,R1,0,8,0,0,0,0,0,0,0,0,-
1,R1_Hold,0,8,0,0,0,1,0,0,0,1,-
2,R2,0,9,0,0,0,0,0,0,0,0,-
3,R2_Hold,0,9,0,0,0,1,0,0,0,1,-
4,L1,0,5,0,0,0,0,0,0,0,0,-
6,L1Hold,0,5,0,0,0,1,0,0,0,1,-
7,L2,0,6,0,0,0,0,0,0,0,0,-
8,L2Hold,0,6,0,0,0,1,0,0,0,1,-
9,L3,0,0,0,0,0,0,0,0,0,0,-
10,Up_R1,1,8,18,0,0,0,0,0,0,0,-
11,Up_R2,1,9,19,0,0,0,0,0,0,0,-
12,ButtonTriangle,0,4,0,0,0,0,0,0,0,0,-
13,ButtonSquare,0,3,0,0,0,0,0,0,0,0,-
14,ButtonCircle,0,1,0,0,0,0,0,0,0,0,-
15,ButtonXmark,0,16,0,0,0,0,0,0,0,0,-
16,ArrowKeyLeft,0,12,0,0,0,0,0,0,0,0,-
17,ArrowKeyRight,0,13,0,0,0,0,0,0,0,0,-
18,Up,1,0,0,0,1,0,0,0,0,0,-
19,UpLeft,2,0,0,0,1,0,0,0,0,0,-
20,UpRight,3,0,0,0,1,0,0,0,0,0,-
21,Left,4,0,0,0,1,0,0,0,0,0,-
22,Right,5,0,0,0,1,0,0,0,0,0,-
23,Down,6,0,0,0,1,0,0,0,0,0,-
24,DownLeft,7,0,0,0,1,0,0,0,0,0,-
25,DownRight,8,0,0,0,1,0,0,0,0,0,-
26,Up_L1Hold,1,5,0,0,1,1,0,0,0,0,-
27,UpLeft_L1Hold,2,5,0,0,1,1,0,0,0,0,-
28,UpRight_L1Hold,3,5,0,0,1,1,0,0,0,0,-
29,Left_L1Hold,4,5,0,0,1,1,0,0,0,0,-
30,Right_L1Hold,5,5,0,0,1,1,0,0,0,0,-
31,Down_L1Hold,6,5,0,0,1,1,0,0,0,0,-
32,DownLeft_L1Hold,7,5,0,0,1,1,0,0,0,0,-
33,DownRight_L1Hold,8,5,0,0,1,1,0,0,0,0,-
34,UpHold_ButtonXmarkHold,1,15,0,0,1,1,0,0,0,0,-
35,UpHold_ButtonXmarkHold_L2Hold,1,15,5,0,1,1,1,0,0,0,-
36,Up_ButtonXmark,1,17,0,0,1,0,0,0,0,0,-
37,UpLeft_ButtonXmark,2,17,0,0,1,0,0,0,0,0,-
38,UpRight_ButtonXmark,3,17,0,0,1,0,0,0,0,0,-
39,Left_ButtonXmark,4,17,0,0,1,0,0,0,0,0,-
40,Right_ButtonXmark,5,17,0,0,1,0,0,0,0,0,-
41,Down_ButtonXmark,6,17,0,0,1,0,0,0,0,0,-
42,DownLeft_ButtonXmark,7,17,0,0,1,0,0,0,0,0,-
43,DownRight_ButtonXmark,8,17,0,0,1,0,0,0,0,0,-
48,L2Hold_R1,0,6,8,0,0,0,0,0,0,0,-
49,L2Hold_R2,0,6,9,0,0,0,0,0,0,0,-
50,Up_L2,1,6,0,0,1,0,0,0,0,0,-
51,UpLeft_L2,2,6,0,0,1,0,0,0,0,0,-
52,UpRight_L2,3,6,0,0,1,0,0,0,0,0,-
53,Left_L2,4,6,0,0,1,0,0,0,0,0,-
54,Right_L2,5,6,0,0,1,0,0,0,0,0,-
55,Down_L2,6,6,0,0,1,0,0,0,0,0,-
56,DownLeft_L2,7,6,0,0,1,0,0,0,0,0,-
57,DownRight_L2,8,6,0,0,1,0,0,0,0,0,-
58,UpHold_L2Hold,1,6,0,0,1,1,0,0,0,0,-
59,UpLeftHold_L2Hold,2,6,0,0,1,1,0,0,0,0,-
60,UpRightHold_L2Hold,3,6,0,0,1,1,0,0,0,0,-
61,LeftHold_L2Hold,4,6,0,0,1,1,0,0,0,0,-
62,RightHold_L2Hold,5,6,0,0,1,1,0,0,0,0,-
63,DownHold_L2Hold,6,6,0,0,1,1,0,0,0,0,-
64,DownLeftHold_L2Hold,7,6,0,0,1,1,0,0,0,0,-
65,DownRightHold_L2Hold,8,6,0,0,1,1,0,0,0,0,-
66,UpHold_L2Hold_R1,1,6,8,0,1,1,0,0,0,0,-
67,UpLeftHold_L2Hold_R1,2,6,8,0,1,1,0,0,0,0,-
68,UpRightHold_L2Hold_R1,3,6,8,0,1,1,0,0,0,0,-
69,LeftHold_L2Hold_R1,4,6,8,0,1,1,0,0,0,0,-
70,RightHold_L2Hold_R1,5,6,8,0,1,1,0,0,0,0,-
71,DownHold_L2Hold_R1,6,6,8,0,1,1,0,0,0,0,-
72,DownLeftHold_L2Hold_R1,7,6,8,0,1,1,0,0,0,0,-
73,DownRightHold_L2Hold_R1,8,6,8,0,1,1,0,0,0,0,-
74,UpHold_L2Hold_R2,1,6,9,0,1,1,0,0,0,0,-
75,UpLeftHold_L2Hold_R2,2,6,9,0,1,1,0,0,0,0,-
76,UpRightHold_L2Hold_R2,3,6,9,0,1,1,0,0,0,0,-
77,LeftHold_L2Hold_R2,4,6,9,0,1,1,0,0,0,0,-
78,RightHold_L2Hold_R2,5,6,9,0,1,1,0,0,0,0,-
79,DownHold_L2Hold_R2,6,6,9,0,1,1,0,0,0,0,-
80,DownLeftHold_L2Hold_R2,7,6,9,0,1,1,0,0,0,0,-
