#ObjActParam=OBJ_ACT_PARAM_ST
ID,Name,actionEnableMsgId,actionFailedMsgId,spQualifiedPassEventFlag,playerAnimId,chrAnimId,validDist,spQualifiedId,spQualifiedId2,ObjDummyId,pad1,ObjAnimId,ValidPlayerAngle,spQualifiedType,spQualifiedType2,ValidObjAngle,ChrSorbType,eventKickTiming,pad2,actionButtonParamId,actionSuccessMsgId
0,Need -- 必要,10010500,-1,-1,60200,7100,150,0,0,191,-,1,60,0,0,30,0,0,-,-1,0
110,Treasure Chest -- 宝箱,10010400,-1,-1,60080,7521,70,0,0,100,-,0,60,0,0,60,1,1,-,-1,0
200,Treasure Chest -- 宝箱,10010400,-1,-1,60080,7521,70,0,0,100,-,1,60,0,0,60,1,1,-,-1,0
350,M93_01_ Door _ Candle Room -- m93_01_扉_蝋燭部屋,10010400,-1,-1,60030,7120,70,0,0,121,-,3,60,0,0,60,0,1,-,-1,0
351,M93_01_ Door _ Candle Room -- m93_01_扉_蝋燭部屋,10010400,-1,-1,60030,7120,70,0,0,101,-,1,60,0,0,60,0,1,-,-1,0
360,M96_00 Door Concept Map _ Entrance -- m96_00 扉 コンセプトマップ_入口,10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
370,M96_00 Door Concept Map _ Temple entrance -- m96_00 扉 コンセプトマップ_聖堂入口,10010400,-1,-1,60040,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
371,M96_00 Door Concept Map _ Distant Entrance -- m96_00 扉 コンセプトマップ_遠景入口,10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
475,M20_01_ Door _ Orphanage 2f_ Small -- m20_01_扉_孤児院2F_小,10010400,-1,-1,60000,7110,60,0,0,100,-,0,60,0,0,60,0,1,-,7100,0
1011,Test_ Door Test -- test_扉テスト,10010400,10010163,-1,60000,7110,70,2001,0,100,-,0,60,1,0,30,0,1,-,-1,0
1012,Test_ Door Test -- test_扉テスト,10010400,10010163,-1,60000,7110,70,2018,0,100,-,0,60,2,0,30,0,1,-,-1,0
10000,Default -- デフォルト,10010500,-1,-1,60200,7100,150,0,0,191,-,1,60,0,0,30,0,0,-,-1,0
90000,Versatile door for FDP_ testing (double doors) -- FDP_テスト用_汎用扉（両開き）,10010400,-1,-1,60040,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
90001,Door with key for FDP_ test (double doors) -- FDP_テスト用_鍵付扉（両開き）,10010400,10010163,-1,60040,7120,70,2001,2100,120,-,1,60,1,1,60,0,1,-,7100,0
90002,Key door for FDP_ test -- FDP_テスト用_内鍵扉,10010400,10010161,-1,60030,7120,70,4150,0,120,-,1,60,2,0,60,0,1,-,7100,0
90010,General purpose door for FDP_ test (single open) -- FDP_テスト用_汎用扉（片開き）,10010400,-1,-1,60000,7110,70,0,0,120,-,0,60,0,0,60,0,1,-,7100,0
90011,FDP_ Test door with key (single open) -- FDP_テスト用_鍵付扉（片開き）,10010400,10010163,-1,60000,7110,70,2001,2100,120,-,0,60,1,1,60,0,1,-,7100,0
90012,Key door for FDP_ test (single open) -- FDP_テスト用_内鍵扉（片開き）,10010400,10010161,-1,60000,7110,70,4150,0,120,-,0,60,2,0,60,0,1,-,7100,0
90013,FDP_ test for Play -- FDP_テスト用_プレイアブル動作確認Ａ,10010400,10010163,-1,60002,14000,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
90014,FDP_ Test (Play-AB operation confirmation B -- FDP_テスト用_プレイアブル動作確認Ｂ,10010400,10010163,-1,60030,14000,70,0,0,100,-,1,60,0,0,60,0,1,-,7110,0
90015,FDP_ Test (Play-AB operation confirmation B -- FDP_テスト用_プレイアブル動作確認Ｂ,10010400,10010163,-1,60000,14000,70,0,0,121,-,1,60,0,0,60,0,1,-,8920,0
99000,,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,0,0
99100,,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,0,0
300300,m30_00_ Door _ Mausoleum Short cut -- m30_00_扉_霊廟ショートカット,10010400,10010161,-1,60020,7121,70,4150,0,100,-,1,60,2,0,60,0,1,-,7100,0
300301,m30_00_ Door _ starting point -- m30_00_扉_スタート地点,10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
300310,M30_00_ Doors _ Wall Shortcuts -- m30_00_扉_城壁ショートカット,10010400,10010161,-1,60000,7110,70,4150,0,100,-,0,60,2,0,60,0,1,-,7200,0
300311,M30_00_ door _ Beast Room door -- m30_00_扉_ビースト部屋扉,10010400,10010163,-1,60000,14000,70,2001,0,100,-,0,60,1,0,60,0,1,-,7200,0
300312,m30_00_ Door _ One Way -- m30_00_扉_一方通行,10010400,10010161,-1,60000,14000,70,0,0,100,-,0,60,0,0,60,0,1,-,7100,0
300313,[High Wall of Lothric],10010400,10010163,-1,60000,14000,70,2010,0,100,-,0,60,1,0,60,0,1,-,7200,0
300320,M30_01_ doors _ Old garden buildings -- m30_01_扉_旧ガーデン建物,10010400,10010161,-1,60020,7121,70,4150,0,100,-,1,60,2,0,60,0,1,-,7200,0
300330,[High Wall of Lothric],10010400,-1,-1,60170,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
300370,m30_00_ Door _ Salon Entrance -- m30_00_扉_大広間入口,10010400,-1,-1,60040,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
300371,m30_00_ Door _ Mausoleum exit door -- m30_00_扉_霊廟出口扉,10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
300500,m30_00_ Lever _ Mausoleum Façade elevator -- m30_00_レバー_霊廟正面エレベータ,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
300510,m30_00_ Lever _ walled Elevator -- m30_00_レバー_城壁エレベーター,10010400,-1,-1,60202,14021,70,0,0,191,-,1,60,0,0,60,0,1,-,8310,0
302420,M30_02_ Lever _ a library elevator -- m30_02_レバー_書庫エレベータ,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
304873,M30_01_ Lever _ Saloon Elevators -- m30_01_レバー_大広間エレベータ,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
304874,,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8320,0
310300,m31_00_ doors _ with sewer keys -- m31_00_扉_下水道　鍵付き,10010400,10010163,-1,60000,14000,70,2009,4150,100,-,0,60,1,2,60,0,1,-,7200,0
310301,m31_00_ Door _ Sewer one-way door -- m31_00_扉_下水道　一方通行扉,10010400,10010161,-1,60000,7120,70,4150,0,100,-,0,60,2,0,60,0,1,-,7200,0
310302,[Undead Settlement],10010400,-1,-1,60000,7120,70,0,0,100,-,0,60,0,0,60,0,1,-,7100,0
310310,[Undead Settlement],10010400,10010161,-1,60000,7110,70,4150,0,100,-,0,60,2,0,60,0,1,-,7200,0
310311,[Undead Settlement],10010400,-1,-1,60000,7110,70,0,0,100,-,0,60,0,0,60,0,1,-,7100,0
310320,[Undead Settlement],10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
310400,CA-[Undead Settlement]Ancient Grave Door,10010400,10010228,-1,60000,14000,70,4150,0,100,-,0,60,1,0,60,0,1,-,7200,0
310500,[Undead Settlement],10010400,-1,-1,60200,14021,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
312100,[Undead Settlement],10010400,-1,-1,60000,7110,70,0,0,100,-,0,60,0,0,60,0,1,-,7200,0
314027,m31_00_ Door _ before the Sniper tower -- m31_00_扉_スナイパー塔前,10010400,-1,-1,60160,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
314028,m31_00_ Door _ Elephant Boss room ago -- m31_00_扉_巨象ボス部屋前,10010400,-1,-1,60160,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
314029,[Undead Settlement],10010400,-1,-1,60160,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,3101510,0
324012,M32_00 Levers _ Ohgane -- m32_00 レバー_大鐘,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8340,0
