#ObjectParam=OBJECT_PARAM_ST
ID,Name,HP,Defense,extRefTexId,materialId,animBreakIdMax,isCamHit,isBreakByPlayerCollide,isAnimBreak,isPenetrationBulletHit,isChrHit,isAttackBacklash,isDisableBreakForFirstAppear,isLadder,isAnimPauseOnRemoPlay,isDamageNoHit,isMoveObj,UnkBool1,UnkBool2,UnkBool3,mapRelated,IsBreakByCollide2,defaultLodParamId,breakSfxId,behParamId0,behParamId1,behParamId2,Unk2,HavokSystem_Wind,HavokSystem_BreakObj,Unk5,WindEffectRate,Unk7,breakObjRate,burnLifeTime,breakUpdate,burnVfxId0,burnVfxId1,burnVfxId2,burnVfxId3,burnBehaviorId0,burnBehaviorId1,burnBehaviorId2,burnBehaviorId3,burnInterval,Unk20,Unk22,BurnBehaviorTime,BurnTimeBegin0,BurnTimeBegin1,BurnTimeBegin2,BurnTimeBegin3,BurnTimeEnd0,BurnTimeEnd1,BurnTimeEnd2,BurnTimeEnd3,aiSoundParamId,Unk32,Unk33,Unk34,Unk35,Unk36,Unk37,Unk38,Unk39,Unk40,Unk41,Unk42,SpawnParam,autoDestroyTimer,Unk44,SoundId,ObjectMaterialSfxIndex,pad1
0,Barista -- バリスタ,-1,0,-1,-1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,0.5,0.5,0,0,0.5,-1,-1,-1,-1,-1,-1,-1,-1,9999,0,2,0,0,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0.025,0.5,1,-1,0,0,0,0,-1,-1,-
100,Bonfire -- 篝火,-1,999,-1,11,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,0,0,0,1,0.5,0.01,0,30,0.5,-1,-1,-1,-1,-1,-1,-1,-1,9999,1,0,0,0,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0.025,0.5,1,-1,0,128,0,0,-1,-1,-
200,,-1,999,-1,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0.5,0.5,0,0,0.5,-1,-1,-1,-1,-1,-1,-1,-1,9999,2,0,0,0,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0.025,0.5,1,-1,0,0,0,0,-1,-1,-
350,M93_01 Candle Room Door -- m93_01 蝋燭部屋扉,-1,0,-1,2,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0.5,0.5,0,0,0.5,-1,-1,-1,-1,-1,-1,-1,-1,9999,0,0,0,0,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0.025,0.5,1,-1,0,128,0,0,-1,-1,-
360,[Concept version] start door -- 【コンセプト版】スタート扉,-1,0,-1,2,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0.5,0.5,0,0,0.5,-1,-1,-1,-1,-1,-1,-1,-1,9999,0,0,0,0,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0.025,0.5,1,-1,0,128,0,0,-1,-1,-
370,[Concept version] boss entrance -- 【コンセプト版】ボス入口,-1,0,-1,2,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0.5,0.5,0,0,0.5,-1,-1,-1,-1,-1,-1,-1,-1,9999,0,0,0,0,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0.025,0.5,1,-1,0,128,0,0,-1,-1,-
371,[Concept version] boss exit -- 【コンセプト版】ボス出口,-1,0,-1,2,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0.5,0.5,0,0,0.5,-1,-1,-1,-1,-1,-1,-1,-1,9999,0,0,0,0,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0.025,0.5,1,-1,0,128,0,0,-1,-1,-
400,Small white Door -- 白扉（小）,-1,0,-1,29,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,0.5,0.5,0,0,0.5,-1,-1,-1,-1,-1,-1,-1,-1,9999,0,0,0,0,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0.025,0.5,1,-1,0,0,0,0,-1,-1,-
401,White Door (Medium) -- 白扉（中）,-1,0,-1,29,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,0.5,0.5,0,0,0.5,-1,-1,-1,-1,-1,-1,-1,-1,9999,0,0,0,0,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0.025,0.5,1,-1,0,0,0,0,-1,-1,-
402,Large White Door -- 白扉（大）,-1,0,-1,29,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,0.5,0.5,0,0,0.5,-1,-1,-1,-1,-1,-1,-1,-1,9999,0,0,0,0,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0.025,0.5,1,-1,0,0,0,0,-1,-1,-
