#PhantomParam=PHANTOM_PARAM_ST
ID,Name,Alpha1,Alpha2,Alpha3,Alpha4,Alpha5,R1,G1,B1,R2,G2,B2,R3,G3,B3,R4,G4,B4,R5,G5,B5,Unk1,GhostAlpha1,GhostAlpha2,GhostType,pad1
1,小白 Phantom -- 小白ファントム,1,0,1,1,1,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,0,1,1,0,-
2,White Phantom -- 白ファントム,1,0.02,1,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,1,1,0,-
3,Blue Phantom 0 -- 青ファントム0,0.63,1,1,1,0.5,64,128,200,80,48,0,255,255,255,255,255,255,128,128,200,0,1,0.5,0,-
4,Blue Phantom 1 -- 青ファントム1,0.63,1,1,1,0.5,64,128,200,80,48,0,255,255,255,255,255,255,128,128,200,0,1,0.5,0,-
5,Blue Phantom 2 -- 青ファントム2,1,1,1,1,1,160,160,255,80,48,0,255,255,255,255,255,255,160,160,255,0,1,1,0,-
6,Koganeyu Phantom -- 小金ファントム,1,1,1,1,1,160,96,0,0,8,160,255,255,255,255,255,255,160,96,0,0,1,1,0,-
7,Gold Phantom -- 金ファントム,1,1,1,1,1,255,160,0,0,32,255,255,255,255,255,255,255,255,160,0,0,1,1,0,-
8,Red Phantom 0 -- 赤ファントム0,1,1,1,1,1,160,64,32,32,255,255,255,255,255,255,255,255,255,0,0,0,1,0.5,0,-
9,Red Phantom 1 -- 赤ファントム1,0.63,1,1,1,1,160,64,32,32,255,255,255,255,255,255,255,255,255,0,0,0,1,0.5,0,-
10,Red Phantom 2 -- 赤ファントム2,1,1,1,1,1,255,255,255,32,255,255,255,255,255,255,255,255,255,200,200,0,1,1,0,-
11,Black Phantom -- 黒ファントム,1,1,1,1,0.5,0,255,255,64,255,200,255,255,255,255,255,255,255,0,32,0,1,1,0,-
12,Dragon Spirit Phantom -- 竜霊ファントム,1,1,1,1,0.78,128,110,100,32,32,32,255,255,255,255,255,255,210,200,160,0,1,0.6,0,-
13,The Abyss Phantom -- 深淵ファントム,1,1,1,1,0.78,32,16,64,30,30,0,255,255,255,255,255,255,225,200,255,0,1,0.6,0,-
14,Servant Phantom -- 下僕ファントム,0.5,1,1,1,1,255,255,255,0,0,0,0,0,0,255,255,255,150,160,192,0,1,1,0,-
15,Ghost Phantom usually -- 通常幻影ファントム,0.19,0.19,1,1,1,255,255,255,128,128,128,32,32,32,0,0,0,0,0,0,0,0.75,1,3,-
16,Bonfire Ghost Phantom -- 篝火幻影ファントム,0.25,0.06,1,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,1,0.3,0,-
17,Tomb Ghost Phantom -- 墓霊ファントム,1,0.5,1,1,1,115,150,150,15,25,25,0,0,0,255,255,255,60,90,90,0,0.1,1,3,-
18,Weapon Enchantment _ Physical reinforcement -- 武器エンチャント_物理強化,1,0.04,1,1,1,64,128,160,64,128,160,0,0,0,64,128,160,64,128,160,0,1,1,0,-
19,Weapon Enchantment _ Magical reinforcement -- 武器エンチャント_魔力強化,0.8,0.1,0.8,0.8,1,70,180,255,80,155,255,220,230,255,220,230,255,64,200,255,0,1,0.5,0,-
20,Weapon Enchant _ Lightning strengthening -- 武器エンチャント_雷強化,1,0.08,1,1,1,255,255,50,255,200,0,0,0,0,255,255,50,255,200,0,0,1,0.5,0,-
21,Weapon Enchant _ Flame Enhancement -- 武器エンチャント_炎強化,1,0.08,1,1,1,255,178,114,255,128,64,0,0,0,255,178,114,255,128,64,0,1,0.5,0,-
22,Weapon Enchantment _ Dark Reinforcement -- 武器エンチャント_闇強化,1,0.08,1,1,1,150,100,255,175,150,200,0,0,0,255,200,255,175,150,200,0,1,0.5,0,-
23,Weapons Enchant _ Poison strengthening -- 武器エンチャント_毒強化,1,0.08,1,1,1,210,242,82,160,192,32,0,0,0,210,242,82,160,192,32,0,1,0.5,0,-
24,Weapons Enchant _ Bleeding strengthening -- 武器エンチャント_出血強化,0.5,0.08,1,1,1,255,178,114,255,128,64,0,0,0,255,178,114,255,128,64,0,1,0.5,0,-
25,Weapon Enchantment _ Weapon destruction reinforcement -- 武器エンチャント_武器破壊強化,0.5,0.04,1,1,1,64,128,160,64,128,160,0,0,0,64,128,160,64,128,160,0,1,1,0,-
26,Weapons Enchanted _ Curse Enhanced -- 武器エンチャント_呪強化,0.5,0.04,1,1,1,64,128,160,64,128,160,0,0,0,64,128,160,64,128,160,0,1,1,0,-
27,Phantom Ghost (tentative name) -- 幻影霊ファントム（仮称）,0.5,1,1,1,1,255,255,255,0,0,0,0,0,0,255,255,255,150,160,192,0,1,1,0,-
28,Weapon Enchantment _ Chill -- 武器エンチャント_冷気,1.5,0.1,1,1,1,130,160,255,200,200,255,180,200,255,225,255,255,210,210,255,0,1,1,0,-
29,Red Phantom 3 -- 赤ファントム3,1.5,0.05,1,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,1,0.5,0,-
30,Weapon Enchantment _ Greater Magic -- 武器エンチャント_魔力強化（大）,1,0.08,1,1,1,150,150,255,100,100,255,0,0,0,150,150,255,100,100,255,0,1,0.5,0,-
31,Ghost Knight _ Ghost State -- 亡霊騎士_亡霊状態,0.19,0.19,1,1,1,255,255,255,128,128,128,32,32,32,0,0,0,0,0,0,0,0.75,1,3,-
32,Painting Mamoru Phantom -- 絵画守　幻影,1,0,1,1,1,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,0,0.3,1,0,-
33,Old King Illusion of caries -- 蝕の老王　幻影,1,0,0.1,0.2,0,190,170,255,255,255,255,255,255,255,255,255,255,64,200,255,0,0.7,1,1,-
35,King of Firewood Test -- 薪の王テスト,0,0,1,1,4,200,125,95,255,255,255,220,220,220,220,220,220,230,120,30,0,1,1,0,-
36,King of Firewood Test (with Edge) -- 薪の王テスト（エッジあり）,1,0,1,1,4,200,125,95,255,255,255,220,220,220,220,220,220,230,120,30,0,1,1,0,-
40,Tiger Translucent -- トラ　半透明,1,1,0,1,0.63,150,200,255,0,0,0,255,255,255,150,200,255,255,255,255,0,0.2,1,1,-
41,Tiger completely transparent -- トラ　完全に透明,1,1,0,1,0.63,150,200,255,0,0,0,255,255,255,150,200,255,255,255,255,0,0,1,1,-
42,Tiger Normal -- トラ　通常,0.63,0.5,0.78,1,1,200,225,255,255,225,225,255,255,255,200,225,255,255,255,255,0,1,1,0,-
43,Black Tiger Normal -- 黒トラ　通常,0.13,1,0.5,0.25,1,255,255,255,0,0,0,160,0,0,200,225,255,255,255,255,0,1,0.75,0,-
50,Shield Enchantment _ Physical reinforcement -- 盾エンチャント_物理強化,0.8,0.1,0.8,0.8,1,70,180,255,80,155,255,220,230,255,220,230,255,64,200,255,0,1,0.5,0,-
51,Shield Enchantment _ Strengthening Magic -- 盾エンチャント_魔力強化,1,0.04,1,1,1,64,200,255,32,100,128,0,0,0,64,200,255,32,100,128,0,1,1,0,-
52,Shield Enchantment _ Lightning strengthening -- 盾エンチャント_雷強化,1,0.04,1,1,1,255,200,0,125,100,0,0,0,0,255,200,0,125,100,0,0,1,1,0,-
53,Shield Enchantment _ Flame Enhancement -- 盾エンチャント_炎強化,1,0.04,1,1,1,255,128,64,128,64,32,0,0,0,255,128,64,128,64,32,0,1,1,0,-
54,Shield Enchantment _ Dark Reinforcement -- 盾エンチャント_闇強化,1,0.04,1,1,1,175,150,200,125,100,150,0,0,0,175,150,200,125,100,150,0,1,1,0,-
55,Shield Enchantment _ Strengthening Poison -- 盾エンチャント_毒強化,1,0.04,1,1,1,160,192,32,80,96,16,0,0,0,160,192,32,80,96,16,0,1,1,0,-
56,Shield Enchantment _ Bleeding strengthening -- 盾エンチャント_出血強化,0.5,0.04,1,1,1,255,128,64,128,64,32,0,0,0,255,128,64,128,64,32,0,1,1,0,-
57,Shield Enchantment _ Shield destruction reinforcement -- 盾エンチャント_盾破壊強化,0.5,0.04,1,1,1,64,128,160,64,128,160,0,0,0,64,128,160,64,128,160,0,1,1,0,-
58,Shield Enchanted _ Curse Enhanced -- 盾エンチャント_呪強化,0.5,0.04,1,1,1,64,128,160,64,128,160,0,0,0,64,128,160,64,128,160,0,1,1,0,-
59,Shield Enchantment _ Chill -- 盾エンチャント_冷気,1,0.04,1,1,1,64,200,255,32,100,128,0,0,0,64,200,255,32,100,128,0,1,1,0,-
60,Dark Spirits -- 闇霊,0.6,0,0.2,0.2,0,255,0,0,0,0,0,255,255,255,255,255,255,0,0,0,0,1,1,0,-
61,White Spirits -- 白霊,0.5,0,0.5,1,0,255,255,255,0,0,0,255,255,255,255,255,255,0,0,0,0,1,1,0,-
62,Wandering Ghosts -- 徘徊幻影,1,0,0,0,1,255,255,255,0,0,0,0,0,0,0,0,0,160,160,160,0,0.3,1,0,-
63,Blood Phantom. -- 血痕幻影,0.3,2,0,0,1,255,0,0,220,200,200,0,0,0,0,0,0,160,160,160,0,0.4,1,0,-
64,Solar White Spirits -- 太陽白霊,2,0,1,1,3,255,180,0,0,0,0,255,255,255,255,255,255,255,230,160,0,1,1,0,-
65,Sun Red Spirits -- 太陽赤霊,1.5,0,0,0.4,5,255,230,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1,1,0,-
66,Berserker White Spirits -- バーサーカー白霊,1,0,1,1,1,180,0,255,0,0,0,255,255,255,255,255,255,255,255,255,0,1,1,0,-
67,Berserker Red Spirits -- バーサーカー赤霊,1,0,0,0.4,5,180,0,255,0,0,0,0,0,0,255,0,0,255,0,0,0,1,1,0,-
68,The Sinner Hero Spirit -- 罪人英雄霊,2,0,1,1,1,40,165,110,0,0,0,255,255,255,255,255,255,230,255,175,0,1,1,0,-
69,Sinners Hunting Spirits -- 罪人狩り霊,1.5,0,0,0.4,5,40,165,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1,1,0,-
70,Red Hunting Spirits -- 赤狩り霊,1,0,1,1,2,0,50,255,0,0,0,255,255,255,255,255,255,200,230,255,0,1,1,0,-
71,Rosalia Guardian Spirits -- ロザリア守護霊,1,0,0,0.4,5,255,255,255,0,0,0,0,0,0,0,0,255,0,0,255,0,1,1,0,-
72,Map Guardian Spirits (bridge) -- マップ守護霊（橋）,1,0,0,0.4,5,255,160,0,0,0,0,0,0,0,0,0,255,0,0,255,0,1,1,0,-
73,Map Guardian Spirits (tbd) -- マップ守護霊（未定）,1,0,0,0.4,5,150,200,0,0,0,0,0,0,0,0,0,255,0,0,255,0,1,1,0,-
74,Sign Illusion -- サイン幻影,1,0,1,1,0,160,160,160,160,160,160,255,255,255,255,255,255,160,160,160,0,0.5,1,3,-
75,,0,0,1,1,0,255,255,255,160,160,160,255,255,255,255,255,255,160,160,160,0,0.6,1,1,-
76,,1,0,0,0,1,255,255,255,0,0,0,0,0,0,0,0,0,160,160,160,0,0.1,1,3,-
80,White Phantom,0.5,0,0.5,1,0,255,255,255,0,0,0,255,255,255,255,255,255,0,0,0,0,1,1,0,-
81,Red Phantom,0.6,0,0.2,0.2,0,255,0,0,0,0,0,255,255,255,255,255,255,0,0,0,0,1,1,0,-
82,Blue Phantom,0.5,0,0.1,0.1,0,30,100,200,0,0,0,255,255,255,255,255,255,200,230,255,0,1,1,0,-
83,Light Blue Phantom,0.6,0,0.4,0.4,5,190,200,255,0,0,0,60,80,255,60,80,255,120,170,200,0,1,1,0,-
84,Light Blue Phantom,0.6,0,0.4,0.4,5,190,200,255,0,0,0,60,80,255,60,80,255,120,170,200,0,1,1,0,-
85,Orange Phantom,0.9,0.03,0.3,0.3,0,255,170,0,255,50,0,255,100,0,255,100,0,0,0,0,0,1,1,0,-
86,,0.8,0,0.3,0.3,4,255,0,0,255,50,0,255,180,0,255,180,0,255,180,0,0,1,1,0,-
87,,0.5,0,0.1,0.1,0,220,0,180,0,0,0,255,255,255,255,255,255,255,120,0,0,1,1,0,-
88,Purple Phantom,0.5,0,0.1,0.1,0,220,0,180,0,0,0,255,255,255,255,255,255,255,120,0,0,1,1,0,-
89,,0.6,0,0,0,0,255,0,0,0,0,0,255,255,255,255,255,255,0,0,0,0,1,1,0,-
90,,1,0,0.1,0.1,10,0,50,255,0,0,0,190,80,255,190,80,255,170,80,255,0,1,1,0,-
91,,0.6,0,0.1,0.1,3,100,160,255,0,0,0,255,0,200,255,0,150,255,0,140,0,1,1,0,-
92,,0.6,0,0.2,0.1,0,255,145,100,0,0,0,255,255,255,255,255,255,0,0,0,0,1,1,0,-
101,小白 Phantom-time to rest-inside -- 小白ファントム-残り時間-中,0.63,0,0.5,0.5,0.5,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,0,1,1,0,-
102,White Phantom-time remaining-medium -- 白ファントム-残り時間-中,0.5,0.02,0.5,0.5,0.5,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,1,1,0,-
103,Koganeyu Phantom-time to rest-inside -- 小金ファントム-残り時間-中,0.5,0.5,0.5,0.5,0.5,160,96,0,0,8,160,255,255,255,255,255,255,160,96,0,0,1,1,0,-
104,Gold Phantom-remaining time-in -- 金ファントム-残り時間-中,0.5,1,0.5,0.5,0.5,255,160,0,0,32,255,255,255,255,255,255,255,255,160,0,0,1,1,0,-
105,Red Phantom 0-remaining time-medium -- 赤ファントム0-残り時間-中,0.5,1,0.5,0.5,0.5,160,64,32,32,255,255,255,255,255,255,255,255,255,0,0,0,1,0.5,0,-
106,Red Phantom 1-time to rest-medium -- 赤ファントム1-残り時間-中,1,1,0.5,0.5,0.5,160,64,32,32,255,255,255,255,255,255,255,255,255,0,0,0,1,0.5,0,-
107,Red Phantom 2-time to rest-medium -- 赤ファントム2-残り時間-中,0.5,1,0.5,0.5,0.5,255,255,255,32,255,255,255,255,255,255,255,255,255,200,200,0,1,1,0,-
108,Red Phantom 3-remaining time-medium -- 赤ファントム3-残り時間-中,1,1,1,1,1,255,255,255,32,255,255,255,255,255,255,255,255,255,200,200,0,1,1,0,-
109,Black Phantom-time remaining-medium -- 黒ファントム-残り時間-中,1,1,0.5,0.5,0.25,0,255,255,64,255,200,255,255,255,255,255,255,255,0,32,0,1,1,0,-
170,,1,0,1,1,2,0,50,255,0,0,0,255,255,255,255,255,255,200,230,255,0,1,1,0,-
181,,0.6,0,0.2,0.2,0,255,0,0,0,0,0,255,255,255,255,255,255,0,0,0,0,0.5,1,3,-
185,,0.9,0.03,0.3,0.3,0,255,170,0,255,50,0,255,100,0,255,100,0,0,0,0,0,0.5,1,3,-
186,,0.8,0,0.3,0.3,4,255,0,0,255,50,0,255,180,0,255,180,0,255,180,0,0,0.5,1,3,-
