#PlayRegionParam=PLAY_REGION_PARAM_ST
ID,Name,playRegionSpId,EventFlagId0,LimitationTime,EventFlagId1,EventFlagId2,DisolvedEventFlag,LoadOfCinder [ON_OFF],IsEnableEvent,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,BonfireEventId0,BonfireEventId1,BonfireEventId2,BonfireEventId3,BonfireEventId4,BonfireEventId5,BonfireEventId6,BonfireEventId7,BonfireEventId8,BonfireEventId9,Unk8,Unk9,Unk10,Unk11,Unk12,Unk13,Unk14,Unk15,pad1
0,Invalid data (no deletion) -- 無効データ（削除禁止）,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-
300001,Ojo 1_01 -- 王城1_01,300010,13000201,20,0,13000825,180,0,0,0,0,0,0,0,0,0,3001952,3001954,3001955,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
300002,Ojo 1_02 -- 王城1_02,300010,0,20,0,13000825,180,0,0,0,0,0,0,0,0,0,3001952,3001954,3001955,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
300003,Ojo 1_03 -- 王城1_03,300010,0,20,0,13000825,180,0,0,0,0,0,0,0,0,0,3001952,3001954,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
300004,Ojo 1_04 -- 王城1_04,300010,0,20,0,13000825,180,0,0,0,0,0,0,0,0,0,3001952,3001954,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
300006,Ojo 1_06 -- 王城1_06,0,-1,20,13000890,0,180,0,0,0,0,0,0,0,0,0,3001954,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
300007,Ojo 1_07 -- 王城1_07,0,-1,20,13000800,0,180,0,0,0,0,0,0,0,0,0,3001952,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
300008,Ojo 1_08 -- 王城1_08,0,-1,20,0,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
300009,Ojo 1_09 -- 王城1_09,0,-1,20,0,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
300020,Ojo 1_20 -- 王城1_20,300020,0,20,0,13000830,180,0,0,0,0,0,0,0,0,0,3001951,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
