#ReinforceParamWeapon=REINFORCE_PARAM_WEAPON_ST
ID,Name,physicsAtkRate,magicAtkRate,fireAtkRate,thunderAtkRate,staminaAtkRate,saWeaponAtkRate,saDurabilityRate,correctStrengthRate,correctAgilityRate,correctMagicRate,correctFaithRate,physicsGuardCutRate,magicGuardCutRate,fireGuardCutRate,thunderGuardCutRate,poisonGuardResistRate,toxicGuardResistRate,bleedGuardResistRate,curseGuardResistRate,staminaGuardResistRate,spEffectId1,spEffectId2,spEffectId3,ResidentSpEffectId1,ResidentSpEffectId2,ResidentSpEffectId3,materialSetId,pad1,darkAtkRate,darkCutRate,StabilityAtkRate,StabilityCutRate,frostGuardResistRate,unk1,pad2
0,Standard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
1,Standard+1,1.1,1.1,1.1,1.1,1.1,1,1,1.05,1.05,1.05,1.05,1,1,1,1,1,1,1,1,1.02,0,0,0,0,0,0,1,-,1.1,1,1.05,1,1,1,-
2,Standard+2,1.2,1.2,1.2,1.2,1.2,1,1,1.1,1.1,1.1,1.1,1,1,1,1,1,1,1,1,1.04,0,0,0,0,0,0,2,-,1.2,1,1.1,1,1.2,1,-
3,Standard+3,1.3,1.3,1.3,1.3,1.3,1,1,1.15,1.15,1.15,1.15,1,1,1,1,1,1,1,1,1.06,0,0,0,0,0,0,3,-,1.3,1,1.15,1,1.4,1,-
4,Standard+4,1.4,1.4,1.4,1.4,1.4,1,1,1.2,1.2,1.2,1.2,1,1,1,1,1,1,1,1,1.08,0,0,0,0,0,0,4,-,1.4,1,1.2,1,1.6,1,-
5,Standard+5,1.5,1.5,1.5,1.5,1.5,1,1,1.23,1.23,1.23,1.23,1,1,1,1,1,1,1,1,1.1,0,0,0,0,0,0,5,-,1.5,1,1.23,1,1.8,1,-
6,Standard+6,1.6,1.6,1.6,1.6,1.6,1,1,1.26,1.26,1.26,1.26,1,1,1,1,1,1,1,1,1.12,0,0,0,0,0,0,6,-,1.6,1,1.26,1,2,1,-
7,Standard+7,1.7,1.7,1.7,1.7,1.7,1,1,1.29,1.29,1.29,1.29,1,1,1,1,1,1,1,1,1.14,0,0,0,0,0,0,7,-,1.7,1,1.29,1,2.2,1,-
8,Standard+8,1.8,1.8,1.8,1.8,1.8,1,1,1.32,1.32,1.32,1.32,1,1,1,1,1,1,1,1,1.16,0,0,0,0,0,0,8,-,1.8,1,1.32,1,2.4,1,-
9,Standard+9,1.9,1.9,1.9,1.9,1.9,1,1,1.35,1.35,1.35,1.35,1,1,1,1,1,1,1,1,1.18,0,0,0,0,0,0,9,-,1.9,1,1.35,1,2.6,1,-
10,Standard+10,2,2,2,2,2,1,1,1.4,1.4,1.4,1.4,1,1,1,1,1,1,1,1,1.2,0,0,0,0,0,0,10,-,2,1,1.4,1,3,1,-
100,Heavy,0.98,1,1,1,1,1,1,1.6,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1.5,1,-
101,Heavy+1,1.067,1.1,1.1,1.1,1.1,1,1,1.71,0,1.05,1.05,1,1,1,1,1,1,1,1,1.01,0,0,0,0,0,0,1,-,1.1,1,1,1,1.5,1,-
102,Heavy+2,1.154,1.2,1.2,1.2,1.2,1,1,1.82,0,1.1,1.1,1,1,1,1,1,1,1,1,1.02,0,0,0,0,0,0,2,-,1.2,1,1,1,1.75,1,-
103,Heavy+3,1.241,1.3,1.3,1.3,1.3,1,1,1.93,0,1.15,1.15,1,1,1,1,1,1,1,1,1.03,0,0,0,0,0,0,3,-,1.3,1,1,1,2,1,-
104,Heavy+4,1.328,1.4,1.4,1.4,1.4,1,1,2.04,0,1.2,1.2,1,1,1,1,1,1,1,1,1.04,0,0,0,0,0,0,4,-,1.4,1,1,1,2.25,1,-
105,Heavy+5,1.415,1.5,1.5,1.5,1.5,1,1,2.13,0,1.23,1.23,1,1,1,1,1,1,1,1,1.05,0,0,0,0,0,0,5,-,1.5,1,1,1,2.5,1,-
106,Heavy+6,1.502,1.6,1.6,1.6,1.6,1,1,2.22,0,1.26,1.26,1,1,1,1,1,1,1,1,1.06,0,0,0,0,0,0,6,-,1.6,1,1,1,2.75,1,-
107,Heavy+7,1.589,1.7,1.7,1.7,1.7,1,1,2.31,0,1.29,1.29,1,1,1,1,1,1,1,1,1.07,0,0,0,0,0,0,7,-,1.7,1,1,1,3,1,-
108,Heavy+8,1.676,1.8,1.8,1.8,1.8,1,1,2.4,0,1.32,1.32,1,1,1,1,1,1,1,1,1.08,0,0,0,0,0,0,8,-,1.8,1,1,1,3.25,1,-
109,Heavy+9,1.763,1.9,1.9,1.9,1.9,1,1,2.49,0,1.35,1.35,1,1,1,1,1,1,1,1,1.09,0,0,0,0,0,0,9,-,1.9,1,1,1,3.5,1,-
110,Heavy+10,1.85,2,2,2,2,1,1,2.6,0,1.4,1.4,1,1,1,1,1,1,1,1,1.1,0,0,0,0,0,0,10,-,2,1,1,1,4,1,-
200,Sharp,0.95,1,1,1,1,1,1,0.95,1.6,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1.5,1,-
201,Sharp+1,1.04,1.1,1.1,1.1,1.1,1,1,0.97,1.75,1.05,1.05,1,1,1,1,1,1,1,1,1.01,0,0,0,0,0,0,1,-,1.1,1,1,1,1.5,1,-
202,Sharp+2,1.13,1.2,1.2,1.2,1.2,1,1,0.99,1.9,1.1,1.1,1,1,1,1,1,1,1,1,1.02,0,0,0,0,0,0,2,-,1.2,1,1,1,1.75,1,-
203,Sharp+3,1.22,1.3,1.3,1.3,1.3,1,1,1.01,2.05,1.15,1.15,1,1,1,1,1,1,1,1,1.03,0,0,0,0,0,0,3,-,1.3,1,1,1,2,1,-
204,Sharp+4,1.31,1.4,1.4,1.4,1.4,1,1,1.02,2.18,1.19,1.19,1,1,1,1,1,1,1,1,1.04,0,0,0,0,0,0,4,-,1.4,1,1,1,2.25,1,-
205,Sharp+5,1.4,1.5,1.5,1.5,1.5,1,1,1.03,2.29,1.23,1.23,1,1,1,1,1,1,1,1,1.05,0,0,0,0,0,0,5,-,1.5,1,1,1,2.5,1,-
206,Sharp+6,1.49,1.6,1.6,1.6,1.6,1,1,1.04,2.4,1.27,1.27,1,1,1,1,1,1,1,1,1.06,0,0,0,0,0,0,6,-,1.6,1,1,1,2.75,1,-
207,Sharp+7,1.58,1.7,1.7,1.7,1.7,1,1,1.05,2.51,1.31,1.31,1,1,1,1,1,1,1,1,1.07,0,0,0,0,0,0,7,-,1.7,1,1,1,3,1,-
