#RoleParam=ROLE_PARAM_ST
ID,Name,TeamType,pad1,PhantomParamId0,SpEffectId0,SpEffectId1,SpEffectId2,SpEffectId3,SpEffectId4,SpEffectId5,SpEffectId6,SpEffectId7,SpEffectId8,SpEffectId9,SfxId0,SfxId1,StayAnimId,ItemLotId,spEffectCondition,IsDisplayTeamName [ON_OFF],pad2,TextId,subTeamType,PhantomParamId1,PhantomParamId2,PhantomParamId3,spEffect10,spEffect11,spEffect12,spEffect13,PhantomParamIdForDebug,pad3
0,Survival player -- 生存プレイヤ,1,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-,331100,1,-1,-1,-1,-1,-1,-1,-1,-1,-
1,White Ghost -- 白ゴースト,2,-,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30001,30000,63010,5510,1,1,-,331101,2,80,80,80,-1,-1,-1,-1,74,-
2,Black Ghost -- 黒ゴースト,16,-,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,5530,0,2,-,331102,19,81,81,81,-1,-1,-1,-1,181,-
3,Wandering -- 徘徊,5,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,1,-,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-
4,Wandering NPC -- 徘徊NPC,5,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,1,-,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-
5,Normal enemy -- 通常敵,6,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,2,-,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-
6,Animal enemies -- 動物敵,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,2,-,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
7,Boss Enemy -- ボス敵,7,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,2,-,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-
8,Grey Ghost -- グレイゴースト,4,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-,331100,4,-1,-1,-1,-1,-1,-1,-1,-1,-
9,Npc -- NPC,26,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,1,-,0,26,-1,-1,-1,-1,-1,-1,-1,-1,-
