#ShopLineupParam=SHOP_LINEUP_PARAM
ID,Name,EquipId,value,mtrlId,EventFlag,qwcID,sellQuantity,shopType,equipType,value_SAN,pad1,PriceRate
1,Do not erase -- 消すべからず,240,100,-1,-1,-1,-1,0,3,-1,-,1
2000,Noconata -- ノコナタ,7000000,0,-1,72101000,-1,1,0,0,-1,-,1
2001,Axe Rod -- 斧竿,5000000,0,-1,72101001,-1,1,0,0,-1,-,1
2002,Cane Whip -- 杖鞭,22000000,0,-1,72101002,-1,1,0,0,-1,-,1
2010,Atelier Handguns -- 工房短銃,14000000,0,-1,72101011,-1,1,0,0,-1,-,1
2011,Atelier Head Gun -- 工房長銃,6000000,0,-1,72101010,-1,1,0,0,-1,-,1
30000,,10100000,0,100000,-1,6320,1,0,0,-1,-,1
30001,,20550,0,100000,-1,6320,1,0,2,-1,-,1
30020,,16040000,0,100002,-1,6300,1,0,0,-1,-,1
30021,,3503000,5000,100002,-1,6300,1,0,3,-1,-,1
30030,,3040000,0,100003,-1,6306,1,0,0,-1,-,1
30031,,1373000,1500,100003,-1,6306,1,0,3,-1,-,1
30040,,6200000,0,100004,-1,6307,1,0,0,-1,-,1
30041,,6300000,10000,100004,-1,6307,1,0,0,-1,-,1
30050,,6320000,10000,100005,-1,6302,1,0,0,-1,-,1
30051,,1370000,10000,100005,-1,6302,1,0,3,-1,-,1
30060,,8180000,0,100006,-1,6301,1,0,0,-1,-,1
30061,,20790,0,100006,-1,6301,1,0,2,-1,-,1
30070,,8190000,0,100007,-1,6317,1,0,0,-1,-,1
30071,,2456000,5000,100007,-1,6317,1,0,3,-1,-,1
30080,,7110000,0,100008,-1,6308,1,0,0,-1,-,1
30081,,22040000,0,100008,-1,6308,1,0,0,-1,-,1
30090,,9160000,10000,100009,-1,6304,1,0,0,-1,-,1
30091,,4080000,5000,100009,-1,6304,1,0,0,-1,-,1
30092,,3553000,5000,100009,-1,6304,1,0,3,-1,-,1
30110,,6170000,3000,100011,-1,6313,1,0,0,-1,-,1
30111,,6180000,3000,100011,-1,6313,1,0,0,-1,-,1
30120,,14130000,5000,100012,-1,6314,1,0,0,-1,-,1
30121,,3730000,5000,100012,-1,6314,1,0,3,-1,-,1
30130,,6290000,0,100013,-1,6315,1,0,0,-1,-,1
30131,,2407000,0,100013,-1,6315,1,0,3,-1,-,1
30140,,9170000,1000,100014,-1,6303,1,0,0,-1,-,1
30141,,6310000,1000,100014,-1,6303,1,0,0,-1,-,1
30153,,3505000,0,100021,-1,6312,1,0,3,-1,-,1
30160,,1308000,0,100015,-1,6311,1,0,3,-1,-,1
30161,,2160000,0,100015,-1,6311,1,0,0,-1,-,1
30170,,6260000,0,100016,-1,6309,1,0,0,-1,-,1
30171,,6280000,5000,100016,-1,6309,1,0,0,-1,-,1
30180,,6230000,0,100017,-1,6318,1,0,0,-1,-,1
30181,,22070000,0,100017,-1,6318,1,0,0,-1,-,1
30190,,6340000,15000,100018,-1,6321,1,0,0,-1,-,1
30191,,3552000,10000,100018,-1,6321,1,0,3,-1,-,1
30200,,7120000,0,100019,-1,6330,1,0,0,-1,-,1
30201,,11030000,0,100019,-1,6330,1,0,0,-1,-,1
30210,,2630000,0,100022,-1,6331,1,0,3,-1,-,1
30211,,20020,5000,100022,-1,6331,1,0,2,-1,-,1
30220,,10180000,10000,100023,-1,6322,1,0,0,-1,-,1
30221,,12070000,3000,100023,-1,6322,1,0,0,-1,-,1
