#SkeletonParam=SKELETON_PARAM_ST
ID,Name,neckTurnGain,originalGroundHeightMS,minAnkleHeightMS,maxAnkleHeightMS,cosineMaxKneeAngle,cosineMinKneeAngle,footPlantedAnkleHeightMS,footRaisedAnkleHeightMS,raycastDistanceUp,raycastDistanceDown,footEndLS_X,footEndLS_Y,footEndLS_Z,onOffGain,groundAcsendingGain,groundDescendingGain,footRaisedGain,footPlantedGain,footUnlockGain,kneeAxisType,useFootLocking,footPlacementOn,twistKneeAxisType,neckTurnPriority,neckTurnMaxAngle,pad1
0,Move -- 動かない,1,10000,10000,10000,100,100,100,100,10000,10000,10000,10000,10000,100,1000,1000,100,100,100,0,0,0,0,127,180,-
1,NPC Common Neck -- NPC共通 首,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,65,-
2,NPC Common Body 1 -- NPC共通 胴1,0.1,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,1,15,-
3,NPC Common Body 2 -- NPC共通 胴2,0.1,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,2,5,-
10,Human-type general-purpose left foot -- 人型汎用左足,0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0,-
11,Human-type universal right foot -- 人型汎用右足,0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0,-
18,Copy _ Test Right leg -- コピー_テスト右脚,0,0,-200,230,-95,55,1,30,250,235,0,0,80,18,100,100,20,100,80,4,0,1,1,0,0,-
19,Copy _ Test left leg -- コピー_テスト左脚,0,0,-200,230,-95,55,1,30,250,235,0,0,80,18,100,100,20,100,80,4,0,1,1,0,0,-
100,Heroine -- ヒロイン,0.05,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50,-
200,Vips -- 要人,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50,-
300,Blacksmith Edo -- 鍛冶屋江戸,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,40,-
400,Slave soldier -- 奴隷兵士,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50,-
500,Ex-noble lady -- 元貴族婦人,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50,-
600,Puppet use -- 人形使い,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50,-
700,Beggar Woman -- 乞食女,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50,-
800,Baldwin -- ボールドウィン,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50,-
900,Beggar Man -- 乞食男,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,40,-
998,Copy _ old general-purpose left foot -- コピー_旧汎用左足,0,0,-200,230,-95,55,1,30,250,235,0,0,80,18,100,100,20,100,80,4,0,1,1,0,0,-
