#SpEffectVfxParam=SP_EFFECT_VFX_PARAM_ST
ID,Name,midstSfxId,midstSeId,InitSfxId,InitSeId,finishSfxId,finishSeId,camouflageBeginDist,camouflageEndDist,transformProtectorId,midstDmyId,initDmyId,finishDmyId,effectType,soulParamIdForWepEnchant1,playCategory,playPriority,existEffectForLarge,existEffectForSoul,existInvisibleAtCamouflage,useCamouflage,invisibleAtFriendCamouflage,addMapAreaBlockOffset,halfCamouflage,isFullBodyProtectorId,isInvisibleWeapon,isSilence,isGauntletProtectorId,Unk1,Unk2,Unk3,Unk4,Unk5,DecalId0,DecalId1,soulParamIdForWepEnchant2,SpEffectSp0,SpEffectSp1,bodyProtectorType,SpSfxId0,SpSfxId1,SpSfxId2,SpSfxId3,SpSfxId4,SpSfxId5,SpSfxId6,SpSfxId7,SpSfxId8,SpSfxId9,SpSfxId10,SpSfxId11,SpSfxId12,SpSfxId13,SpSfxId14,SpSfxId15,Unk10,PhantomType,CamouflageGhost,Unk12,PhantomParamId,EmissiveIntensityScale [ArmorGlow],Unk13,bodyProtectorVal,Unk14,CinderIntensityScale [Ember Effect Glow],pad1
0,For testing -- テスト用,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
1,Flame -- 炎,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
2,Poison -- 毒,4010,999999996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,4,21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
3,Hill -- ヒル,890,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
4,Corrosion -- 腐食,815,-1,-1,-1,-1,-1,-1,-1,-1,220,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
5,Plague -- 疫病,4070,999999995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,4,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
6,Bleeding -- 出血,4080,999999994,-1,-1,-1,-1,-1,-1,-1,220,-1,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,900,0,-1,-
8,Hidden -- 姿隠し,24027,-1,-1,-1,-1,-1,17,12,-1,220,-1,-1,0,0,3,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
9,Gravity user -- グラビティ使用者,20228,-1,-1,-1,-1,-1,-1,-1,-1,236,-1,-1,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
10,State abnormal recovery [poison] -- 状態異常回復【毒】,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
