#TalkParam=TALK_PARAM_ST
ID,Name,PcGenderFemale1,PcGenderMale1,SpEffectId0,AnimationId0,SpEffectId1,AnimationId1,SpEffectId2,AnimationId2,EventFlagId,EventID_Female,EventID_Male,TalkTime[0.0 - 1.0]
10000100,,100,30000001,-1,-1,-1,-1,0,-1,-1,100,30000001,0
10000200,,200,30000001,-1,-1,-1,-1,0,-1,-1,200,30000001,0
10000300,,300,30000001,-1,-1,-1,-1,0,-1,-1,300,30000001,0
10000400,,400,30000001,-1,-1,-1,-1,0,-1,-1,400,30000001,0
10000500,,500,24000000,-1,-1,-1,-1,0,-1,-1,500,24000000,0
10000501,,501,24000001,-1,-1,-1,-1,0,-1,-1,501,24000001,0
10000502,,502,24000002,-1,-1,-1,-1,0,-1,-1,502,24000002,0
10000503,,503,24000003,-1,-1,-1,-1,0,-1,-1,503,24000003,0
10000600,,600,22000100,-1,-1,-1,-1,0,-1,-1,600,22000100,0
10000601,,601,22000101,-1,-1,-1,-1,0,-1,-1,601,22000101,0
10000602,,602,22000102,-1,-1,-1,-1,0,-1,-1,602,22000102,0
10000603,,603,22000103,-1,-1,-1,-1,0,-1,-1,603,22000103,0
10000604,,604,22000104,-1,-1,-1,-1,0,-1,-1,604,22000104,0
10000700,,700,22000000,-1,-1,-1,-1,0,-1,-1,700,22000000,0
10000701,,701,22000001,-1,-1,-1,-1,0,-1,-1,701,22000001,0
10000702,,702,22000002,-1,-1,-1,-1,0,-1,-1,702,22000002,0
10000703,,703,22000003,-1,-1,-1,-1,0,-1,-1,703,22000003,0
10000704,,704,22000004,-1,-1,-1,-1,0,-1,-1,704,22000004,0
10000705,,705,22000005,-1,-1,-1,-1,0,-1,-1,705,22000005,0
10000706,,706,22000006,-1,-1,-1,-1,0,-1,-1,706,22000006,0
10000750,,750,30000001,-1,-1,-1,-1,0,-1,-1,750,30000001,0
10000800,,800,30000001,-1,-1,-1,-1,0,-1,-1,800,30000001,0
10000900,,900,30000001,-1,-1,-1,-1,0,-1,-1,900,30000001,0
10001000,,1000,30000001,-1,-1,-1,-1,0,-1,-1,1000,30000001,0
10001100,,1100,30000001,-1,-1,-1,-1,0,-1,-1,1100,30000001,0
10001200,,1200,30000001,-1,-1,-1,-1,0,-1,-1,1200,30000001,0
10001300,,1300,30000001,-1,-1,-1,-1,0,-1,-1,1300,30000001,0
10001400,,1400,30000001,-1,-1,-1,-1,0,-1,-1,1400,30000001,0
10001500,,1500,30000001,-1,-1,-1,-1,0,-1,-1,1500,30000001,0
10001600,,1600,20000200,-1,-1,-1,-1,0,-1,-1,1601,20000201,0
10001601,,1604,20000204,-1,-1,-1,-1,0,-1,-1,1604,20000204,0
10001602,,1605,20000205,-1,-1,-1,-1,0,-1,-1,1605,20000205,0
10001603,,1606,20000206,-1,-1,-1,-1,0,-1,-1,1606,20000206,0
10001604,,1607,20000207,0,0,0,0,0,0,0,1607,20000207,0
10001650,,1602,20000202,-1,-1,-1,-1,0,-1,-1,1603,20000203,0
10001651,,1604,20000204,-1,-1,-1,-1,0,-1,-1,1604,20000204,0
10001652,,1605,20000205,-1,-1,-1,-1,0,-1,-1,1605,20000205,0
10001653,,1606,20000206,-1,-1,-1,-1,0,-1,-1,1606,20000206,0
10001654,,1607,20000207,0,0,0,0,0,0,0,1607,20000207,0
10001700,,1700,30000001,-1,-1,-1,-1,0,-1,-1,1700,30000001,0
10001800,,1800,30000001,-1,-1,-1,-1,0,-1,-1,1800,30000001,0
10001900,,1900,30000001,-1,-1,-1,-1,0,-1,-1,1900,30000001,0
10001950,,1950,23000300,-1,-1,-1,-1,0,-1,-1,1950,23000300,0
10001951,,1951,23000301,-1,-1,-1,-1,0,-1,-1,1951,23000301,0
10001952,,1952,23000303,-1,-1,-1,-1,0,-1,-1,1952,23000303,0
10001953,,1953,23000304,-1,-1,-1,-1,0,-1,-1,1953,23000304,0
10002000,,2000,30000001,-1,-1,-1,-1,0,-1,-1,2000,30000001,0
10002100,,2100,30000001,-1,-1,-1,-1,0,-1,-1,2100,30000001,0
10002200,,2200,30000001,-1,-1,-1,-1,0,-1,-1,2200,30000001,0
10002300,,2300,30000001,-1,-1,-1,-1,0,-1,-1,2300,30000001,0
10002400,,2400,30000001,-1,-1,-1,-1,0,-1,-1,2400,30000001,0
10002450,,1950,23000300,-1,-1,-1,-1,0,-1,-1,1950,23000300,0
10002451,,1951,23000301,-1,-1,-1,-1,0,-1,-1,1951,23000301,0
10002452,,1952,23000303,-1,-1,-1,-1,0,-1,-1,1952,23000303,0
10002453,,1953,23000304,-1,-1,-1,-1,0,-1,-1,1953,23000304,0
10002500,,2500,30000001,-1,-1,-1,-1,0,-1,-1,2500,30000001,0
10002600,,2600,21002800,-1,-1,-1,-1,0,-1,-1,2600,21002800,0
10002601,,2601,21002801,-1,-1,-1,-1,0,-1,-1,2601,21002801,0
10002602,,2602,21002802,-1,-1,-1,-1,0,-1,-1,2602,21002802,0
10002603,,2603,21002803,-1,-1,-1,-1,0,-1,-1,2603,21002803,0
10002700,,2700,2001500,-1,-1,-1,-1,0,-1,-1,2700,2001500,0
10002710,,2701,2001600,-1,-1,-1,-1,0,-1,-1,2701,2001600,0
10002711,,2702,2001601,-1,-1,-1,-1,0,-1,-1,2702,2001601,0
10002720,,2703,2001700,-1,-1,-1,-1,0,-1,-1,2703,2001700,0
10002721,,2704,2001701,-1,-1,-1,-1,0,-1,-1,2704,2001701,0
10002730,,2705,2001800,-1,-1,-1,-1,0,-1,-1,2755,2001801,0
10002731,,2706,2001802,-1,-1,-1,-1,0,-1,-1,2706,2001802,0
10002800,,2800,30000001,-1,-1,-1,-1,0,-1,-1,2800,30000001,0
10002900,,2900,30000001,-1,-1,-1,-1,0,-1,-1,2900,30000001,0
10003000,,3000,30000602,-1,-1,-1,-1,0,-1,-1,3000,30000602,0
10003001,,3001,30000603,-1,-1,-1,-1,0,-1,-1,3001,30000603,0
10003100,,3100,2002400,-1,-1,-1,-1,0,-1,-1,3100,2002400,0
10003101,,3101,2002401,-1,-1,-1,-1,0,-1,-1,3101,2002401,0
10003110,,3102,2002402,-1,-1,-1,-1,0,-1,-1,3102,2002402,0
10003111,,3103,2002403,-1,-1,-1,-1,0,-1,-1,3103,2002403,0
10003120,,3110,2002500,-1,-1,-1,-1,0,-1,-1,3110,2002500,6
10003200,,1000600,1000600,-1,-1,-1,-1,0,-1,-1,1000600,1000600,0
10003210,,1000601,1000601,-1,-1,-1,-1,0,-1,-1,1000601,1000601,0
10003220,,1000602,1000602,-1,-1,-1,-1,0,-1,-1,1000602,1000602,0
10005100,,51000300,51100300,-1,-1,-1,-1,0,-1,-1,51000300,51100300,0
10005101,,51000301,51100301,-1,-1,-1,-1,0,-1,-1,51000301,51100301,0
10005102,,51000302,51100302,-1,-1,-1,-1,0,-1,-1,51000302,51100302,0
10005103,,51000303,51100303,-1,-1,-1,-1,0,-1,-1,51000303,51100303,0
10005104,,51000304,51100304,-1,-1,-1,-1,0,-1,-1,51000304,51100304,0
10005105,,51000305,51100305,-1,-1,-1,-1,0,-1,-1,51000305,51100305,0
10005106,,51000306,51100306,-1,-1,-1,-1,0,-1,-1,51000306,51100306,0
10005200,,55001900,55001900,-1,-1,-1,-1,0,-1,-1,55001900,55001900,0
10005250,,55002000,55002000,-1,-1,-1,-1,0,-1,-1,55002000,55002000,0
10005251,,55002001,55002001,-1,-1,-1,-1,0,-1,-1,55002001,55002001,0
10005300,,100,30000001,-1,-1,-1,-1,0,-1,-1,100,30000001,0
10005400,,56000100,56000100,-1,-1,-1,-1,0,-1,-1,56000100,56000100,0
10005401,,56000101,56000101,-1,-1,-1,-1,0,-1,-1,56000101,56000101,0
10005402,,56000102,56000102,-1,-1,-1,-1,0,-1,-1,56000102,56000102,0
10005410,,55001100,55001100,-1,-1,-1,-1,0,-1,-1,55001100,55001100,0
10005411,,55001101,55001101,-1,-1,-1,-1,0,-1,-1,55001101,55001101,0
