#ToughnessParam=TOUGHNESS_PARAM_ST
ID,Name,Toughness,DamageLvlThreshold,IsToughnessEffective,pad1,SpEffectId,pad2
1,Generic parameters for enemies -- 敵用の汎用パラメータ,1,0,0,-,-1,-
2,,0.2,0,0,-,6352,-
3,,0.25,0,0,-,6352,-
4,,0.3,0,0,-,6352,-
5,,0.35,0,0,-,6352,-
6,,0.4,0,0,-,6352,-
7,,0.45,0,0,-,6352,-
8,,0.5,0,0,-,6352,-
9,,0.55,0,0,-,6352,-
10,Generic: 1.0 x -- 汎用：1.0倍,0.6,0,0,-,6352,-
11,,0.65,0,0,-,6352,-
12,,0.7,0,0,-,6352,-
13,,0.75,0,0,-,6352,-
14,,0.8,0,0,-,6352,-
15,Versatile: 1.5 x -- 汎用：1.5倍,0.85,0,0,-,6352,-
16,,0.9,0,0,-,6352,-
17,,0.95,0,0,-,6352,-
18,,1,0,0,-,6352,-
20,Generic: 2.0 X -- 汎用：2.0倍,1.5,0,0,-,6352,-
25,General Purpose: 2.5 x -- 汎用：2.5倍,2,0,0,-,6352,-
30,Generic: 3.0 x -- 汎用：3.0倍,2.5,0,0,-,6353,-
35,,3,0,0,-,6354,-
50,,0.15,0,0,-,6360,-
51,pvpatch backstep w 60 reset,0.15,60,0,-,6360,-
52,pvpatch backstep w 60 reset + 20 ph,0.2,60,0,-,6360,-
53,pvpatch dragon attack,0.4,80,0,-,6360,-
100,Attack: one hand: weak -- 攻撃：片手：弱,1,0,0,-,6352,-
101,Attack: one hand: weak: Minimum warranty -- 攻撃：片手：弱：最低保障,1,20,0,-,6352,-
110,Attack: one hand: Strong -- 攻撃：片手：強,1,0,0,-,6352,-
111,Attack: one hand: strong: Minimum security -- 攻撃：片手：強：最低保障,1,20,0,-,6352,-
120,Attack: one hand: Strong Max Infuser -- 攻撃：片手：強MAX溜め,1.5,0,0,-,6353,-
121,Attack: one hand: Strong max Infuser: Minimum security -- 攻撃：片手：強MAX溜め：最低保障,1.5,20,0,-,6353,-
130,,0.5,0,0,-,6352,-
131,,0.5,20,0,-,6352,-
150,,1,80,0,-,6352,-
151,50% toughness,0.5,80,0,-,6352,-
152,weapon poise health w reset,1,100,0,-,6352,-
155,STANDARD WEAPON POISE *0.734 (glaive to DSSS),0.73426574,80,0,-,6352,-
160,,1,80,0,-,6352,-
170,,1.5,80,0,-,6352,-
180,pvpatch - running attack 0.5 to 0.6,0.6,80,0,-,6352,-
190,BB charged R2 (Ultra poise) 27.3 ph +60 reset,0.273,60,0,-,6360,-
191,"BB gun (DSSS poise) 10,5 + 60 reset",0.105,60,0,-,6360,-
192,Stake Driver GS 21.1 ph,0.211,80,0,-,6360,-
193,BB (glaive poise) 14.3 unused,0.143,60,0,-,6360,-
200,,0.1,10,1,-,6352,-
201,,0.15,15,1,-,6352,-
202,,0.2,20,1,-,6352,-
203,,0.25,25,1,-,6352,-
204,,0.3,30,1,-,6352,-
205,,0.35,35,1,-,6352,-
206,,0.4,40,1,-,6352,-
207,,0.45,45,1,-,6352,-
208,,0.5,50,1,-,6352,-
209,,0.55,55,1,-,6352,-
210,,0.6,60,1,-,6352,-
211,,0.65,65,1,-,6352,-
212,,0.7,70,1,-,6353,-
213,,0.75,75,1,-,6353,-
214,,0.8,80,1,-,6353,-
215,,0.85,85,1,-,6353,-
216,,0.9,90,1,-,6353,-
217,,0.95,95,1,-,6353,-
218,,1,100,1,-,6353,-
230,GS R1 poise health,0.211,21,1,-,6352,-
231,21.1 ph (gs) => 14.3 (glaive),0.677,80,0,-,6352,-
232,21.1 ph (gs) => 16.3 (hammer),0.77,80,0,-,6352,-
240,10.5 ph (axe) =>16.3 (hammer),1.55,80,0,-,6352,-
241,10.5 ph (axe) => 2.44 (hammer) Charged R2,2.33,80,0,-,6352,-
250,"10.5 ph (SS, scythe) => 14.3 (glaive)",1.36,80,0,-,6352,-
10000,,0,0,0,-,0,-
20000,,0,0,0,-,0,-
