#WetAspectParam=WET_ASPECT_PARAM_ST
ID,Name,R1,G1,B1,pad1,Alpha1,R2,G2,B2,pad2,Alpha2,WetRate,WetCorrection,pad3
1,Water wet -- 水濡れ,30,30,30,-,0.6,30,30,30,-,0.6,0.8,150,-
2,Poison Wet -- 毒濡れ,28,20,5,-,0.85,28,22,15,-,0.7,0.8,140,-
3,Oil wet -- 油濡れ,30,25,20,-,0.75,80,40,20,-,0.75,0.9,150,-
4,Mud Stains -- 泥汚れ,70,40,30,-,0.4,40,30,20,-,0.6,0.8,130,-
5,Sand Dust -- 砂埃,60,55,50,-,0.25,50,40,30,-,0.25,0.8,30,-
6,Freezing -- 凍結,200,210,230,-,0.03,160,180,190,-,0.1,0.8,20,-
7,Covered with wax -- 蝋まみれ,200,200,200,-,0.1,225,225,225,-,0.5,0.7,50,-
8,Frostbite -- 凍傷,200,210,230,-,0.02,160,180,190,-,0.05,0.6,30,-
9,(Preliminary 1) -- （予備１）,28,20,5,-,0.85,28,22,15,-,0.7,0.8,140,-
10,(Preliminary 2) -- （予備２）,30,35,40,-,0.7,90,90,100,-,0.6,0.7,150,-
11,(Preliminary 3) -- （予備３）,200,200,200,-,0,0,0,0,-,0,0,0,-
12,,0,0,0,-,0,0,0,0,-,0,0,0,-
13,,0,0,0,-,0,0,0,0,-,0,0,0,-
14,,0,0,0,-,0,0,0,0,-,0,0,0,-
15,,0,0,0,-,0,0,0,0,-,0,0,0,-
16,,0,0,0,-,0,0,0,0,-,0,0,0,-
17,,0,0,0,-,0,0,0,0,-,0,0,0,-
