#Wind=WIND_PARAM_ST
ID,Name,commonCapsuleBeginDmyId,commonCapsuleEndDmyId,commonCapsuleRadius,pad1,sfxWindEnable,sfxIgnorePlayerSfx,sfxIsCollision,pad2,SfxDirPitchMin,SfxDirPitchMax,SfxDirYawMin,SfxDirYawMax,SfxCycleMin,SfxCycleMax,SfxSpeedMin,SfxSpeedMax,SfxMaximumDrag,pad3,clothWindEnable,clothVertexWind,pad4,clothDirPitchMin,clothDirPitchMax,clothDirYawMin,clothDirYawMax,clothCycleMin,clothCycleMax,clothSpeedMin,clothSpeedMax,clothMaximumDrag,pad5
0,For testing -- テスト用,0,0,1,-,1,0,0,-,0,0,0,0,1,1,1,1,1,-,0,0,-,0,0,0,0,0.1,0.1,0,0,0,-
10,General Environment Wind (weak) -- 汎用環境風（弱）,0,0,1,-,1,0,0,-,-15,15,-15,15,0.01,0.01,0.1,0.2,1,-,1,0,-,-15,15,-15,15,6,15,2.5,5,10,-
11,General environment Wind (medium) -- 汎用環境風（中）,0,0,1,-,1,0,0,-,-20,20,-20,20,0.05,0.05,0.3,0.7,1,-,1,0,-,-20,20,-20,20,3,8,5,10,10,-
12,General Environment Wind (strong) -- 汎用環境風（強）,0,0,1,-,1,0,0,-,-30,30,-30,30,0.05,0.05,0.3,2.3,1,-,1,0,-,-30,30,-30,30,2,6,10,20,10,-
50000,General-Purpose one shot wind (weak) -- 汎用ワンショット風（弱）,0,0,1,-,1,0,0,-,-15,15,-15,15,0.01,0.01,0.2,0.2,1,-,1,0,-,-15,15,-15,15,6,15,5,5,10,-
50001,General-Purpose one shot wind (medium) -- 汎用ワンショット風（中）,0,0,1,-,1,0,0,-,-20,20,-20,20,0.05,0.05,0.7,0.7,1,-,1,0,-,-20,20,-20,20,3,8,10,10,10,-
50002,General-Purpose one shot wind (strong) -- 汎用ワンショット風（強）,0,0,1,-,1,0,0,-,-30,30,-30,30,0.05,0.05,2.3,2.3,1,-,1,0,-,-30,30,-30,30,2,6,20,20,10,-
100000,Map Placement Collision -- マップ配置用コリジョン,0,0,1,-,1,0,1,-,0,0,0,0,0.001,0.001,0,0,0,-,1,0,-,0,0,0,0,0.1,0.1,0,0,0,-
120100000,M20_01 start part (after door open) -- m20_01スタート部（扉OPEN後）,0,0,1,-,1,0,0,-,-15,15,-15,15,0.01,0.01,0.1,0.2,1,-,1,0,-,-15,15,-15,15,6,15,2.5,5,10,-
120100001,m20_01 Start Room-Ohashi -- m20_01スタート部屋～大橋,0,0,1,-,1,0,0,-,40,80,25,65,0.05,0.05,0.3,0.7,1,-,1,0,-,40,80,25,65,3,8,5,10,10,-
120100002,M20_01 Ohashi -- m20_01大橋,0,0,1,-,1,0,0,-,15,75,30,90,0.05,0.05,1,4,1,-,1,0,-,15,75,30,90,2,6,10,20,10,-
120100003,M20_01 Orphanage -- m20_01孤児院前,0,0,1,-,1,0,0,-,15,75,30,90,0.05,0.05,0.5,2,1,-,1,0,-,10,50,-65,-25,3,8,5,10,10,-
120100004,M20_01 Orphanage Armpit -- m20_01孤児院脇,0,0,1,-,1,0,0,-,15,75,30,90,0.01,0.01,0.5,2,1,-,1,0,-,-15,15,-45,-15,6,15,2.5,5,10,-
120100005,M20_01 Orphanage Passage (after window destruction) -- m20_01孤児院通路（窓破壊後）,0,0,1,-,1,0,0,-,-15,15,-15,15,0.01,0.01,0.5,2,1,-,1,0,-,-15,15,-15,15,6,15,2.5,5,10,-
120100006,M20_01 Orphanage Hall -- m20_01孤児院ホール,0,0,1,-,1,0,0,-,-15,15,-15,15,0.01,0.01,0.1,0.2,1,-,1,0,-,-15,15,-15,15,6,15,2.5,5,10,-
120100007,M20_01 Orphanage Terrace -- m20_01孤児院テラス,0,0,1,-,1,0,0,-,15,75,30,90,0.05,0.05,0.3,1,1,-,1,0,-,-30,30,-75,-15,2,6,10,20,10,-
120100008,M20_01 Orphanage-Basilica Terrace -- m20_01孤児院～聖堂テラス,0,0,1,-,1,0,0,-,15,75,30,90,0.05,0.05,0.3,2.3,1,-,1,0,-,-5,35,-80,-40,3,8,5,10,10,-
